ID,Wavelength,Value ,Dark,Reference,Sex,Species 
EPFU1,250,0.000159,0.000051,0.000971,M,EPFU
EPFU1,251,0.000174,0,0.001157,M,EPFU
EPFU1,252,0.000613,0.000121,0.001256,M,EPFU
EPFU1,253,0.000263,0,0.001465,M,EPFU
EPFU1,254,0.000101,0,0.001274,M,EPFU
EPFU1,255,0.000032,0,0.00102,M,EPFU
EPFU1,256,0.00011,0,0.001204,M,EPFU
EPFU1,257,0.000023,0.00001,0.001128,M,EPFU
EPFU1,258,0.000263,0.00001,0.001482,M,EPFU
EPFU1,259,0.000203,0.000195,0.00124,M,EPFU
EPFU1,260,0.000361,0.000094,0.001338,M,EPFU
EPFU1,261,0.000636,0.000007,0.001418,M,EPFU
EPFU1,262,0.000275,0.000053,0.001613,M,EPFU
EPFU1,263,0.000065,0.000013,0.002033,M,EPFU
EPFU1,264,0.000388,0,0.001475,M,EPFU
EPFU1,265,0.000189,0,0.002026,M,EPFU
EPFU1,266,0.000241,0.000123,0.001793,M,EPFU
EPFU1,267,0.000161,0.000074,0.001985,M,EPFU
EPFU1,268,0.000045,0,0.002205,M,EPFU
EPFU1,269,0.000103,0,0.001991,M,EPFU
EPFU1,270,0,0,0.002408,M,EPFU
EPFU1,271,0.001096,0.000113,0.002477,M,EPFU
EPFU1,272,0.000039,0.000052,0.002337,M,EPFU
EPFU1,273,0.000531,0,0.00222,M,EPFU
EPFU1,274,0.000815,0.00029,0.002483,M,EPFU
EPFU1,275,0.001253,0.000123,0.002973,M,EPFU
EPFU1,276,0.000708,0,0.003159,M,EPFU
EPFU1,277,0.000365,0.0001,0.002996,M,EPFU
EPFU1,278,0.00028,0,0.002704,M,EPFU
EPFU1,279,0.000553,0,0.002662,M,EPFU
EPFU1,280,0.000647,0,0.002567,M,EPFU
EPFU1,281,0.000449,0,0.002968,M,EPFU
EPFU1,282,0.000174,0,0.00288,M,EPFU
EPFU1,283,0.00042,0.000013,0.003016,M,EPFU
EPFU1,284,0.000179,0,0.003045,M,EPFU
EPFU1,285,0.000116,0,0.003362,M,EPFU
EPFU1,286,0.00031,0,0.003001,M,EPFU
EPFU1,287,0.000691,0.000112,0.003281,M,EPFU
EPFU1,288,0.000265,0,0.003338,M,EPFU
EPFU1,289,0.000592,0.000056,0.003024,M,EPFU
EPFU1,290,0.001087,0,0.00375,M,EPFU
EPFU1,291,0.000503,0.000077,0.003494,M,EPFU
EPFU1,292,0.00031,0,0.003528,M,EPFU
EPFU1,293,0.000696,0.000112,0.003329,M,EPFU
EPFU1,294,0.001615,0.000311,0.003781,M,EPFU
EPFU1,295,0.000646,0.000113,0.003472,M,EPFU
EPFU1,296,0.000531,0,0.003707,M,EPFU
EPFU1,297,0.000431,0.000001,0.004306,M,EPFU
EPFU1,298,0.001214,0.000071,0.004214,M,EPFU
EPFU1,299,0.000396,0,0.004185,M,EPFU
EPFU1,300,0.001824,0,0.004569,M,EPFU
EPFU1,301,0.000392,0,0.00359,M,EPFU
EPFU1,302,0.000489,0.000001,0.004184,M,EPFU
EPFU1,303,0.001208,0.000173,0.004071,M,EPFU
EPFU1,304,0.001257,0,0.004315,M,EPFU
EPFU1,305,0.002472,0.000326,0.004541,M,EPFU
EPFU1,306,0.000497,0.000119,0.004274,M,EPFU
EPFU1,307,0.00094,0.000165,0.004375,M,EPFU
EPFU1,308,0.003701,0.000264,0.005196,M,EPFU
EPFU1,309,0.001357,0.000058,0.004333,M,EPFU
EPFU1,310,0.000495,0,0.004566,M,EPFU
EPFU1,311,0.000629,0,0.0044,M,EPFU
EPFU1,312,0.000391,0,0.004361,M,EPFU
EPFU1,313,0.000293,0,0.004089,M,EPFU
EPFU1,314,0.001014,0,0.004526,M,EPFU
EPFU1,315,0.001063,0,0.004479,M,EPFU
EPFU1,316,0.000743,0,0.004412,M,EPFU
EPFU1,317,0.000996,0.000136,0.004331,M,EPFU
EPFU1,318,0.00116,0,0.004758,M,EPFU
EPFU1,319,0.000426,0,0.004159,M,EPFU
EPFU1,320,0.000207,0.000054,0.004078,M,EPFU
EPFU1,321,0.000678,0,0.004555,M,EPFU
EPFU1,322,0.000411,0,0.004525,M,EPFU
EPFU1,323,0.000945,0,0.004469,M,EPFU
EPFU1,324,0.000896,0.000132,0.004598,M,EPFU
EPFU1,325,0.000787,0,0.004575,M,EPFU
EPFU1,326,0.000462,0.000067,0.004605,M,EPFU
EPFU1,327,0.000169,0.000017,0.004197,M,EPFU
EPFU1,328,0.000655,0.000051,0.004538,M,EPFU
EPFU1,329,0.000311,0,0.004517,M,EPFU
EPFU1,330,0.001211,0.000062,0.004657,M,EPFU
EPFU1,331,0.000997,0.000123,0.004851,M,EPFU
EPFU1,332,0.000478,0,0.004153,M,EPFU
EPFU1,333,0.001681,0.000014,0.005049,M,EPFU
EPFU1,334,0.001887,0.000021,0.004854,M,EPFU
EPFU1,335,0.001391,0.000257,0.00512,M,EPFU
EPFU1,336,0.000439,0,0.004735,M,EPFU
EPFU1,337,0.000374,0,0.004722,M,EPFU
EPFU1,338,0.001098,0.000023,0.005031,M,EPFU
EPFU1,339,0.000289,0,0.005051,M,EPFU
EPFU1,340,0.001264,0.000127,0.005354,M,EPFU
EPFU1,341,0.000427,0,0.005351,M,EPFU
EPFU1,342,0.000863,0.000103,0.005433,M,EPFU
EPFU1,343,0.000587,0.00001,0.005367,M,EPFU
EPFU1,344,0.001027,0.000183,0.005483,M,EPFU
EPFU1,345,0.000539,0.000011,0.005457,M,EPFU
EPFU1,346,0.000803,0,0.006051,M,EPFU
EPFU1,347,0.00132,0.000107,0.006128,M,EPFU
EPFU1,348,0.001017,0,0.005964,M,EPFU
EPFU1,349,0.000685,0.000023,0.006313,M,EPFU
EPFU1,350,0.000249,0,0.006047,M,EPFU
EPFU1,351,0.000154,0,0.005947,M,EPFU
EPFU1,352,0.000664,0,0.006708,M,EPFU
EPFU1,353,0.000726,0.000011,0.007286,M,EPFU
EPFU1,354,0.000998,0,0.00742,M,EPFU
EPFU1,355,0.001069,0,0.007197,M,EPFU
EPFU1,356,0.000691,0.000039,0.007659,M,EPFU
EPFU1,357,0.00108,0,0.007711,M,EPFU
EPFU1,358,0.001362,0,0.007864,M,EPFU
EPFU1,359,0.001066,0,0.007925,M,EPFU
EPFU1,360,0.001229,0,0.008387,M,EPFU
EPFU1,361,0.001409,0.000142,0.008884,M,EPFU
EPFU1,362,0.001199,0,0.009054,M,EPFU
EPFU1,363,0.00094,0,0.009771,M,EPFU
EPFU1,364,0.001009,0.000108,0.009579,M,EPFU
EPFU1,365,0.001359,0.000176,0.00997,M,EPFU
EPFU1,366,0.001932,0,0.010691,M,EPFU
EPFU1,367,0.001756,0.000054,0.011094,M,EPFU
EPFU1,368,0.001788,0,0.012032,M,EPFU
EPFU1,369,0.001488,0,0.012308,M,EPFU
EPFU1,370,0.001872,0,0.013866,M,EPFU
EPFU1,371,0.001503,0,0.014421,M,EPFU
EPFU1,372,0.001968,0.000024,0.014945,M,EPFU
EPFU1,373,0.002006,0,0.016839,M,EPFU
EPFU1,374,0.002571,0,0.018826,M,EPFU
EPFU1,375,0.002449,0,0.020361,M,EPFU
EPFU1,376,0.002986,0.000063,0.022426,M,EPFU
EPFU1,377,0.003587,0.000059,0.026034,M,EPFU
EPFU1,378,0.003208,0.000018,0.027666,M,EPFU
EPFU1,379,0.003997,0,0.032575,M,EPFU
EPFU1,380,0.005078,0,0.038577,M,EPFU
EPFU1,381,0.005028,0,0.042773,M,EPFU
EPFU1,382,0.006807,0,0.052848,M,EPFU
EPFU1,383,0.008546,0,0.064246,M,EPFU
EPFU1,384,0.01037,0,0.081417,M,EPFU
EPFU1,385,0.011174,0,0.088561,M,EPFU
EPFU1,386,0.015203,0.000018,0.118091,M,EPFU
EPFU1,387,0.018825,0,0.137004,M,EPFU
EPFU1,388,0.022308,0,0.16413,M,EPFU
EPFU1,389,0.029107,0.000052,0.196677,M,EPFU
EPFU1,390,0.038965,0,0.25583,M,EPFU
EPFU1,391,0.045493,0,0.285539,M,EPFU
EPFU1,392,0.05943,0,0.304829,M,EPFU
EPFU1,393,0.080324,0.000149,0.32014,M,EPFU
EPFU1,394,0.087737,0,0.317319,M,EPFU
EPFU1,395,0.116264,0,0.314838,M,EPFU
EPFU1,396,0.151012,0,0.306618,M,EPFU
EPFU1,397,0.17618,0.000072,0.307868,M,EPFU
EPFU1,398,0.206663,0,0.307493,M,EPFU
EPFU1,399,0.241712,0,0.307199,M,EPFU
EPFU1,400,0.256196,0,0.30378,M,EPFU
EPFU1,401,0.29953,0,0.308656,M,EPFU
EPFU1,402,0.29865,0.000101,0.299968,M,EPFU
EPFU1,403,0.293373,0.000018,0.297861,M,EPFU
EPFU1,404,0.294777,0.000041,0.295756,M,EPFU
EPFU1,405,0.295516,0.000241,0.296434,M,EPFU
EPFU1,406,0.294017,0,0.295064,M,EPFU
EPFU1,407,0.29471,0,0.295724,M,EPFU
EPFU1,408,0.294841,0.000006,0.295914,M,EPFU
EPFU1,409,0.296786,0,0.297939,M,EPFU
EPFU1,410,0.293095,0.00004,0.29412,M,EPFU
EPFU1,411,0.292595,0,0.29371,M,EPFU
EPFU1,412,0.290559,0.00013,0.29165,M,EPFU
EPFU1,413,0.292548,0.00005,0.293505,M,EPFU
EPFU1,414,0.289724,0.000067,0.290775,M,EPFU
EPFU1,415,0.290047,0,0.291275,M,EPFU
EPFU1,416,0.291602,0,0.292751,M,EPFU
EPFU1,417,0.288782,0,0.289716,M,EPFU
EPFU1,418,0.289794,0,0.290791,M,EPFU
EPFU1,419,0.288449,0,0.28951,M,EPFU
EPFU1,420,0.288788,0,0.289943,M,EPFU
EPFU1,421,0.287793,0,0.288949,M,EPFU
EPFU1,422,0.289646,0,0.290763,M,EPFU
EPFU1,423,0.287936,0.000094,0.288893,M,EPFU
EPFU1,424,0.287579,0.000051,0.290659,M,EPFU
EPFU1,425,0.289668,0,0.290705,M,EPFU
EPFU1,426,0.287288,0.00004,0.288354,M,EPFU
EPFU1,427,0.288093,0.000078,0.289158,M,EPFU
EPFU1,428,0.276809,0,0.289586,M,EPFU
EPFU1,429,0.283342,0,0.287145,M,EPFU
EPFU1,430,0.287068,0.000034,0.287982,M,EPFU
EPFU1,431,0.27572,0.000084,0.286561,M,EPFU
EPFU1,432,0.231458,0,0.286721,M,EPFU
EPFU1,433,0.256194,0.000051,0.283457,M,EPFU
EPFU1,434,0.231566,0,0.283237,M,EPFU
EPFU1,435,0.209582,0,0.281373,M,EPFU
EPFU1,436,0.200888,0,0.280033,M,EPFU
