ID,Wavelength,Value,Dark,Reference ,Sex,Species 
EPFU3,250,0.000228,0.000025,0.000794,M,EPFU
EPFU3,251,0.000094,0.000015,0.000995,M,EPFU
EPFU3,252,0.000237,0.000038,0.00095,M,EPFU
EPFU3,253,0.000268,0,0.001201,M,EPFU
EPFU3,254,0.000191,0.000024,0.001071,M,EPFU
EPFU3,255,0.000162,0,0.000886,M,EPFU
EPFU3,256,0.000173,0,0.001036,M,EPFU
EPFU3,257,0.000097,0,0.000956,M,EPFU
EPFU3,258,0.000336,0,0.001241,M,EPFU
EPFU3,259,0.000366,0.000023,0.001148,M,EPFU
EPFU3,260,0.00026,0,0.001109,M,EPFU
EPFU3,261,0.000477,0.000049,0.001291,M,EPFU
EPFU3,262,0.000313,0.000042,0.001311,M,EPFU
EPFU3,263,0.000289,0,0.001602,M,EPFU
EPFU3,264,0.000315,0.000021,0.001493,M,EPFU
EPFU3,265,0.000366,0.00004,0.001787,M,EPFU
EPFU3,266,0.00037,0.000019,0.001514,M,EPFU
EPFU3,267,0.000313,0,0.00137,M,EPFU
EPFU3,268,0.000448,0,0.001793,M,EPFU
EPFU3,269,0.000309,0,0.001589,M,EPFU
EPFU3,270,0.000484,0.00021,0.002368,M,EPFU
EPFU3,271,0.000767,0.000052,0.002461,M,EPFU
EPFU3,272,0.000379,0.000007,0.001976,M,EPFU
EPFU3,273,0.000258,0,0.001657,M,EPFU
EPFU3,274,0.000541,0,0.001966,M,EPFU
EPFU3,275,0.00077,0.000104,0.002223,M,EPFU
EPFU3,276,0.000564,0,0.002627,M,EPFU
EPFU3,277,0.000352,0,0.00263,M,EPFU
EPFU3,278,0.000424,0.000053,0.002075,M,EPFU
EPFU3,279,0.000409,0,0.002155,M,EPFU
EPFU3,280,0.000396,0,0.001963,M,EPFU
EPFU3,281,0.000564,0.000023,0.002505,M,EPFU
EPFU3,282,0.000233,0,0.002376,M,EPFU
EPFU3,283,0.000531,0.000057,0.002621,M,EPFU
EPFU3,284,0.000735,0,0.002451,M,EPFU
EPFU3,285,0.000784,0.000004,0.003215,M,EPFU
EPFU3,286,0.000537,0,0.002375,M,EPFU
EPFU3,287,0.00065,0,0.002881,M,EPFU
EPFU3,288,0.000518,0,0.002778,M,EPFU
EPFU3,289,0.000572,0,0.002846,M,EPFU
EPFU3,290,0.000621,0,0.003035,M,EPFU
EPFU3,291,0.000498,0,0.00267,M,EPFU
EPFU3,292,0.000548,0,0.00276,M,EPFU
EPFU3,293,0.000669,0,0.002919,M,EPFU
EPFU3,294,0.000773,0,0.003256,M,EPFU
EPFU3,295,0.000487,0,0.002732,M,EPFU
EPFU3,296,0.000681,0,0.003189,M,EPFU
EPFU3,297,0.000614,0.000065,0.003579,M,EPFU
EPFU3,298,0.001033,0.000082,0.003477,M,EPFU
EPFU3,299,0.00068,0,0.003335,M,EPFU
EPFU3,300,0.000996,0,0.003622,M,EPFU
EPFU3,301,0.00042,0,0.003132,M,EPFU
EPFU3,302,0.000536,0,0.003067,M,EPFU
EPFU3,303,0.001044,0.000198,0.003306,M,EPFU
EPFU3,304,0.000802,0,0.003438,M,EPFU
EPFU3,305,0.001189,0.00008,0.003522,M,EPFU
EPFU3,306,0.000453,0,0.003384,M,EPFU
EPFU3,307,0.000805,0,0.003625,M,EPFU
EPFU3,308,0.001738,0.000246,0.003572,M,EPFU
EPFU3,309,0.001066,0.000119,0.003595,M,EPFU
EPFU3,310,0.000852,0.000304,0.003819,M,EPFU
EPFU3,311,0.000758,0,0.003608,M,EPFU
EPFU3,312,0.000788,0,0.003495,M,EPFU
EPFU3,313,0.000795,0.000041,0.003735,M,EPFU
EPFU3,314,0.001066,0,0.003993,M,EPFU
EPFU3,315,0.000867,0,0.003669,M,EPFU
EPFU3,316,0.000732,0,0.003618,M,EPFU
EPFU3,317,0.000842,0,0.003537,M,EPFU
EPFU3,318,0.000999,0.000138,0.003847,M,EPFU
EPFU3,319,0.000758,0,0.003507,M,EPFU
EPFU3,320,0.000405,0,0.003584,M,EPFU
EPFU3,321,0.000919,0,0.003517,M,EPFU
EPFU3,322,0.000749,0,0.003737,M,EPFU
EPFU3,323,0.000663,0,0.003563,M,EPFU
EPFU3,324,0.001089,0,0.003538,M,EPFU
EPFU3,325,0.001027,0.000157,0.003949,M,EPFU
EPFU3,326,0.00046,0,0.003423,M,EPFU
EPFU3,327,0.000549,0,0.003502,M,EPFU
EPFU3,328,0.00063,0,0.003718,M,EPFU
EPFU3,329,0.000784,0,0.003514,M,EPFU
EPFU3,330,0.000938,0,0.003802,M,EPFU
EPFU3,331,0.000688,0,0.00385,M,EPFU
EPFU3,332,0.000781,0.000095,0.003725,M,EPFU
EPFU3,333,0.001077,0,0.004177,M,EPFU
EPFU3,334,0.001147,0,0.003936,M,EPFU
EPFU3,335,0.000973,0,0.003879,M,EPFU
EPFU3,336,0.000703,0,0.003799,M,EPFU
EPFU3,337,0.000728,0,0.003964,M,EPFU
EPFU3,338,0.001104,0.000033,0.003996,M,EPFU
EPFU3,339,0.000755,0,0.004394,M,EPFU
EPFU3,340,0.001293,0.000046,0.00445,M,EPFU
EPFU3,341,0.001019,0.000083,0.004558,M,EPFU
EPFU3,342,0.000906,0,0.004446,M,EPFU
EPFU3,343,0.000691,0,0.004374,M,EPFU
EPFU3,344,0.001042,0.00007,0.004641,M,EPFU
EPFU3,345,0.001059,0.000008,0.004771,M,EPFU
EPFU3,346,0.001039,0,0.004977,M,EPFU
EPFU3,347,0.001234,0,0.004776,M,EPFU
EPFU3,348,0.001186,0.000135,0.004752,M,EPFU
EPFU3,349,0.001065,0,0.005097,M,EPFU
EPFU3,350,0.000757,0,0.004979,M,EPFU
EPFU3,351,0.000904,0.000028,0.005251,M,EPFU
EPFU3,352,0.001156,0,0.005783,M,EPFU
EPFU3,353,0.00123,0,0.006012,M,EPFU
EPFU3,354,0.0016,0.000023,0.005946,M,EPFU
EPFU3,355,0.001129,0,0.005929,M,EPFU
EPFU3,356,0.001278,0.000045,0.006256,M,EPFU
EPFU3,357,0.001185,0,0.006303,M,EPFU
EPFU3,358,0.001243,0.000167,0.006664,M,EPFU
EPFU3,359,0.001623,0,0.00682,M,EPFU
EPFU3,360,0.001341,0,0.006763,M,EPFU
EPFU3,361,0.001748,0,0.007545,M,EPFU
EPFU3,362,0.001454,0,0.007446,M,EPFU
EPFU3,363,0.001649,0,0.00848,M,EPFU
EPFU3,364,0.001394,0,0.008084,M,EPFU
EPFU3,365,0.00168,0,0.008073,M,EPFU
EPFU3,366,0.002198,0.000098,0.008833,M,EPFU
EPFU3,367,0.001818,0,0.009362,M,EPFU
EPFU3,368,0.002162,0,0.010008,M,EPFU
EPFU3,369,0.002195,0,0.010126,M,EPFU
EPFU3,370,0.00246,0.000173,0.011109,M,EPFU
EPFU3,371,0.002386,0.000057,0.012215,M,EPFU
EPFU3,372,0.002397,0.000012,0.012167,M,EPFU
EPFU3,373,0.002732,0,0.014136,M,EPFU
EPFU3,374,0.003417,0,0.015223,M,EPFU
EPFU3,375,0.003361,0,0.016783,M,EPFU
EPFU3,376,0.003736,0,0.018496,M,EPFU
EPFU3,377,0.004634,0,0.021777,M,EPFU
EPFU3,378,0.004909,0.000127,0.02325,M,EPFU
EPFU3,379,0.005423,0,0.026591,M,EPFU
EPFU3,380,0.006739,0,0.032341,M,EPFU
EPFU3,381,0.00754,0.000101,0.0354,M,EPFU
EPFU3,382,0.009402,0.000193,0.043464,M,EPFU
EPFU3,383,0.011468,0,0.053197,M,EPFU
EPFU3,384,0.014206,0.000008,0.066493,M,EPFU
EPFU3,385,0.015041,0,0.073046,M,EPFU
EPFU3,386,0.020355,0.000043,0.09749,M,EPFU
EPFU3,387,0.025439,0.000027,0.112897,M,EPFU
EPFU3,388,0.029554,0,0.136317,M,EPFU
EPFU3,389,0.038136,0,0.164331,M,EPFU
EPFU3,390,0.052661,0,0.217273,M,EPFU
EPFU3,391,0.061098,0.000107,0.248225,M,EPFU
EPFU3,392,0.079252,0,0.274046,M,EPFU
EPFU3,393,0.106676,0,0.317611,M,EPFU
EPFU3,394,0.115329,0.000001,0.300065,M,EPFU
EPFU3,395,0.153178,0,0.313995,M,EPFU
EPFU3,396,0.19723,0.000017,0.305636,M,EPFU
EPFU3,397,0.228667,0.000097,0.3068,M,EPFU
EPFU3,398,0.255484,0.000005,0.306606,M,EPFU
EPFU3,399,0.280462,0,0.306092,M,EPFU
EPFU3,400,0.285011,0,0.302656,M,EPFU
EPFU3,401,0.307496,0,0.307806,M,EPFU
EPFU3,402,0.298299,0,0.298602,M,EPFU
EPFU3,403,0.296757,0,0.297056,M,EPFU
EPFU3,404,0.294463,0.000206,0.29468,M,EPFU
EPFU3,405,0.294746,0,0.294964,M,EPFU
EPFU3,406,0.293897,0,0.294113,M,EPFU
EPFU3,407,0.294574,0,0.294871,M,EPFU
EPFU3,408,0.294493,0.000061,0.294792,M,EPFU
EPFU3,409,0.296605,0,0.296905,M,EPFU
EPFU3,410,0.292711,0,0.292927,M,EPFU
EPFU3,411,0.292451,0,0.292665,M,EPFU
EPFU3,412,0.290215,0,0.290428,M,EPFU
EPFU3,413,0.292222,0,0.292518,M,EPFU
EPFU3,414,0.289321,0.000122,0.289614,M,EPFU
EPFU3,415,0.290141,0.000048,0.290434,M,EPFU
EPFU3,416,0.291397,0,0.291692,M,EPFU
EPFU3,417,0.28877,0.000227,0.288982,M,EPFU
EPFU3,418,0.289349,0,0.289562,M,EPFU
EPFU3,419,0.288339,0,0.288551,M,EPFU
EPFU3,420,0.288596,0.000017,0.288887,M,EPFU
EPFU3,421,0.287743,0.000037,0.288034,M,EPFU
EPFU3,422,0.289482,0.000019,0.289775,M,EPFU
EPFU3,423,0.287684,0,0.287895,M,EPFU
EPFU3,424,0.289356,0,0.289569,M,EPFU
EPFU3,425,0.28956,0.000042,0.289773,M,EPFU
EPFU3,426,0.28722,0.000066,0.28751,M,EPFU
EPFU3,427,0.287871,0.000123,0.288162,M,EPFU
EPFU3,428,0.2883,0,0.288591,M,EPFU
EPFU3,429,0.285928,0,0.286216,M,EPFU
EPFU3,430,0.286937,0,0.287147,M,EPFU
EPFU3,431,0.285442,0,0.285651,M,EPFU
EPFU3,432,0.259092,0.000109,0.285794,M,EPFU
EPFU3,433,0.282115,0.00003,0.282616,M,EPFU
EPFU3,434,0.267687,0,0.282304,M,EPFU
EPFU3,435,0.25571,0,0.280731,M,EPFU
EPFU3,436,0.250359,0,0.279184,M,EPFU
EPFU3,437,0.206412,0,0.278446,M,EPFU
EPFU3,438,0.194848,0,0.278064,M,EPFU
EPFU3,439,0.183283,0,0.274483,M,EPFU
EPFU3,440,0.190008,0,0.27319,M,EPFU
EPFU3,441,0.15635,0,0.269568,M,EPFU
EPFU3,442,0.130919,0,0.263282,M,EPFU
EPFU3,443,0.133449,0,0.269298,M,EPFU
EPFU3,444,0.116223,0,0.265196,M,EPFU
EPFU3,445,0.104614,0,0.263897,M,EPFU
EPFU3,446,0.094096,0.000043,0.245646,M,EPFU
EPFU3,447,0.088235,0.000048,0.245762,M,EPFU
EPFU3,448,0.075079,0.000013,0.20829,M,EPFU
EPFU3,449,0.070892,0,0.196516,M,EPFU
EPFU3,450,0.067474,0.00009,0.1977,M,EPFU
EPFU3,451,0.056522,0,0.151181,M,EPFU
EPFU3,452,0.056757,0,0.167286,M,EPFU
EPFU3,453,0.054258,0,0.150802,M,EPFU
EPFU3,454,0.05193,0,0.14644,M,EPFU
EPFU3,455,0.048054,0,0.128938,M,EPFU
EPFU3,456,0.046865,0.000005,0.126498,M,EPFU
EPFU3,457,0.040619,0.000056,0.101382,M,EPFU
EPFU3,458,0.039701,0,0.1002,M,EPFU
EPFU3,459,0.038872,0,0.094254,M,EPFU
EPFU3,460,0.035291,0,0.08442,M,EPFU
EPFU3,461,0.033055,0.000065,0.075137,M,EPFU
EPFU3,462,0.0318,0,0.068247,M,EPFU
EPFU3,463,0.031479,0.000099,0.065726,M,EPFU
EPFU3,464,0.030358,0.000011,0.06143,M,EPFU
EPFU3,465,0.029135,0.000037,0.056392,M,EPFU
EPFU3,466,0.028202,0.000052,0.053882,M,EPFU
EPFU3,467,0.027766,0,0.050095,M,EPFU
EPFU3,468,0.02651,0,0.046033,M,EPFU
EPFU3,469,0.026116,0,0.043927,M,EPFU
EPFU3,470,0.025056,0,0.039913,M,EPFU
EPFU3,471,0.025149,0.000033,0.037618,M,EPFU
EPFU3,472,0.024009,0,0.033531,M,EPFU
EPFU3,473,0.024159,0,0.033332,M,EPFU
EPFU3,474,0.023545,0.000025,0.030073,M,EPFU
EPFU3,475,0.023354,0,0.027749,M,EPFU
EPFU3,476,0.023745,0,0.027023,M,EPFU
EPFU3,477,0.022233,0,0.023923,M,EPFU
EPFU3,478,0.022128,0,0.022311,M,EPFU
EPFU3,479,0.022212,0.000115,0.021668,M,EPFU
EPFU3,480,0.021849,0.000022,0.019921,M,EPFU
EPFU3,481,0.021951,0,0.018534,M,EPFU
EPFU3,482,0.021278,0,0.01715,M,EPFU
EPFU3,483,0.021067,0,0.016364,M,EPFU
EPFU3,484,0.021227,0,0.015475,M,EPFU
EPFU3,485,0.020476,0.000077,0.01428,M,EPFU
EPFU3,486,0.020261,0,0.013617,M,EPFU
EPFU3,487,0.019976,0,0.012732,M,EPFU
EPFU3,488,0.019742,0,0.01247,M,EPFU
EPFU3,489,0.019265,0.000046,0.011765,M,EPFU
EPFU3,490,0.019287,0.000034,0.011314,M,EPFU
EPFU3,491,0.019046,0.000006,0.01068,M,EPFU
EPFU3,492,0.018189,0.000071,0.009694,M,EPFU
