ID,Wavelength,Value,Dark,Reference,Sex,Species 
EPFU6,250,0.000027,0.000051,0.000971,F,EPFU
EPFU6,251,0.000019,0,0.001157,F,EPFU
EPFU6,252,0.000525,0.000121,0.001256,F,EPFU
EPFU6,253,0.000193,0,0.001465,F,EPFU
EPFU6,254,0.000003,0,0.001274,F,EPFU
EPFU6,255,0,0,0.00102,F,EPFU
EPFU6,256,0.000088,0,0.001204,F,EPFU
EPFU6,257,0,0.00001,0.001128,F,EPFU
EPFU6,258,0.000151,0.00001,0.001482,F,EPFU
EPFU6,259,0.000067,0.000195,0.00124,F,EPFU
EPFU6,260,0.000221,0.000094,0.001338,F,EPFU
EPFU6,261,0.000643,0.000007,0.001418,F,EPFU
EPFU6,262,0.000111,0.000053,0.001613,F,EPFU
EPFU6,263,0,0.000013,0.002033,F,EPFU
EPFU6,264,0,0,0.001475,F,EPFU
EPFU6,265,0.000055,0,0.002026,F,EPFU
EPFU6,266,0.000221,0.000123,0.001793,F,EPFU
EPFU6,267,0.000113,0.000074,0.001985,F,EPFU
EPFU6,268,0,0,0.002205,F,EPFU
EPFU6,269,0.000056,0,0.001991,F,EPFU
EPFU6,270,0,0,0.002408,F,EPFU
EPFU6,271,0.000798,0.000113,0.002477,F,EPFU
EPFU6,272,0,0.000052,0.002337,F,EPFU
EPFU6,273,0.000428,0,0.00222,F,EPFU
EPFU6,274,0.000777,0.00029,0.002483,F,EPFU
EPFU6,275,0.000924,0.000123,0.002973,F,EPFU
EPFU6,276,0.000513,0,0.003159,F,EPFU
EPFU6,277,0.000355,0.0001,0.002996,F,EPFU
EPFU6,278,0.000136,0,0.002704,F,EPFU
EPFU6,279,0.000242,0,0.002662,F,EPFU
EPFU6,280,0.000422,0,0.002567,F,EPFU
EPFU6,281,0.000145,0,0.002968,F,EPFU
EPFU6,282,0.00002,0,0.00288,F,EPFU
EPFU6,283,0.000339,0.000013,0.003016,F,EPFU
EPFU6,284,0,0,0.003045,F,EPFU
EPFU6,285,0,0,0.003362,F,EPFU
EPFU6,286,0.000264,0,0.003001,F,EPFU
EPFU6,287,0.000518,0.000112,0.003281,F,EPFU
EPFU6,288,0.000152,0,0.003338,F,EPFU
EPFU6,289,0.000374,0.000056,0.003024,F,EPFU
EPFU6,290,0.000815,0,0.00375,F,EPFU
EPFU6,291,0.000112,0.000077,0.003494,F,EPFU
EPFU6,292,0.000037,0,0.003528,F,EPFU
EPFU6,293,0.000568,0.000112,0.003329,F,EPFU
EPFU6,294,0.001698,0.000311,0.003781,F,EPFU
EPFU6,295,0.000475,0.000113,0.003472,F,EPFU
EPFU6,296,0.000151,0,0.003707,F,EPFU
EPFU6,297,0.000135,0.000001,0.004306,F,EPFU
EPFU6,298,0.000878,0.000071,0.004214,F,EPFU
EPFU6,299,0.00017,0,0.004185,F,EPFU
EPFU6,300,0.001508,0,0.004569,F,EPFU
EPFU6,301,0,0,0.00359,F,EPFU
EPFU6,302,0.000036,0.000001,0.004184,F,EPFU
EPFU6,303,0.001131,0.000173,0.004071,F,EPFU
EPFU6,304,0.001041,0,0.004315,F,EPFU
EPFU6,305,0.002153,0.000326,0.004541,F,EPFU
EPFU6,306,0,0.000119,0.004274,F,EPFU
EPFU6,307,0.000587,0.000165,0.004375,F,EPFU
EPFU6,308,0.003601,0.000264,0.005196,F,EPFU
EPFU6,309,0.001122,0.000058,0.004333,F,EPFU
EPFU6,310,0.000228,0,0.004566,F,EPFU
EPFU6,311,0.000337,0,0.0044,F,EPFU
EPFU6,312,0.000126,0,0.004361,F,EPFU
EPFU6,313,0.000173,0,0.004089,F,EPFU
EPFU6,314,0.000825,0,0.004526,F,EPFU
EPFU6,315,0.000993,0,0.004479,F,EPFU
EPFU6,316,0.000337,0,0.004412,F,EPFU
EPFU6,317,0.000653,0.000136,0.004331,F,EPFU
EPFU6,318,0.000905,0,0.004758,F,EPFU
EPFU6,319,0.000059,0,0.004159,F,EPFU
EPFU6,320,0,0.000054,0.004078,F,EPFU
EPFU6,321,0.000641,0,0.004555,F,EPFU
EPFU6,322,0.000191,0,0.004525,F,EPFU
EPFU6,323,0.000548,0,0.004469,F,EPFU
EPFU6,324,0.000588,0.000132,0.004598,F,EPFU
EPFU6,325,0.000492,0,0.004575,F,EPFU
EPFU6,326,0.000111,0.000067,0.004605,F,EPFU
EPFU6,327,0,0.000017,0.004197,F,EPFU
EPFU6,328,0.000595,0.000051,0.004538,F,EPFU
EPFU6,329,0.000225,0,0.004517,F,EPFU
EPFU6,330,0.0011,0.000062,0.004657,F,EPFU
EPFU6,331,0.000712,0.000123,0.004851,F,EPFU
EPFU6,332,0.000354,0,0.004153,F,EPFU
EPFU6,333,0.001077,0.000014,0.005049,F,EPFU
EPFU6,334,0.00134,0.000021,0.004854,F,EPFU
EPFU6,335,0.001324,0.000257,0.00512,F,EPFU
EPFU6,336,0.000119,0,0.004735,F,EPFU
EPFU6,337,0.000309,0,0.004722,F,EPFU
EPFU6,338,0.000703,0.000023,0.005031,F,EPFU
EPFU6,339,0.000245,0,0.005051,F,EPFU
EPFU6,340,0.001027,0.000127,0.005354,F,EPFU
EPFU6,341,0.000273,0,0.005351,F,EPFU
EPFU6,342,0.000588,0.000103,0.005433,F,EPFU
EPFU6,343,0.000242,0.00001,0.005367,F,EPFU
EPFU6,344,0.000786,0.000183,0.005483,F,EPFU
EPFU6,345,0.000186,0.000011,0.005457,F,EPFU
EPFU6,346,0.000481,0,0.006051,F,EPFU
EPFU6,347,0.001023,0.000107,0.006128,F,EPFU
EPFU6,348,0.000503,0,0.005964,F,EPFU
EPFU6,349,0.000374,0.000023,0.006313,F,EPFU
EPFU6,350,0,0,0.006047,F,EPFU
EPFU6,351,0,0,0.005947,F,EPFU
EPFU6,352,0.000114,0,0.006708,F,EPFU
EPFU6,353,0.000229,0.000011,0.007286,F,EPFU
EPFU6,354,0.000606,0,0.00742,F,EPFU
EPFU6,355,0.000635,0,0.007197,F,EPFU
EPFU6,356,0.000515,0.000039,0.007659,F,EPFU
EPFU6,357,0.000526,0,0.007711,F,EPFU
EPFU6,358,0.000847,0,0.007864,F,EPFU
