ID,Wavelength ,Value ,Dark,Reference,Sex,Species 
EPFU7,250,0.000153,0.000025,0.000794,F,EPFU
EPFU7,251,0.000129,0.000015,0.000995,F,EPFU
EPFU7,252,0.000224,0.000038,0.00095,F,EPFU
EPFU7,253,0.000098,0,0.001201,F,EPFU
EPFU7,254,0.000133,0.000024,0.001071,F,EPFU
EPFU7,255,0.000072,0,0.000886,F,EPFU
EPFU7,256,0.000156,0,0.001036,F,EPFU
EPFU7,257,0.000136,0,0.000956,F,EPFU
EPFU7,258,0.000275,0,0.001241,F,EPFU
EPFU7,259,0.000276,0.000023,0.001148,F,EPFU
EPFU7,260,0.000348,0,0.001109,F,EPFU
EPFU7,261,0.000421,0.000049,0.001291,F,EPFU
EPFU7,262,0.000298,0.000042,0.001311,F,EPFU
EPFU7,263,0.000137,0,0.001602,F,EPFU
EPFU7,264,0.000323,0.000021,0.001493,F,EPFU
EPFU7,265,0.000367,0.00004,0.001787,F,EPFU
EPFU7,266,0.000225,0.000019,0.001514,F,EPFU
EPFU7,267,0.000272,0,0.00137,F,EPFU
EPFU7,268,0.000216,0,0.001793,F,EPFU
EPFU7,269,0.000161,0,0.001589,F,EPFU
EPFU7,270,0.000412,0.00021,0.002368,F,EPFU
EPFU7,271,0.000571,0.000052,0.002461,F,EPFU
EPFU7,272,0.000225,0.000007,0.001976,F,EPFU
EPFU7,273,0.000299,0,0.001657,F,EPFU
EPFU7,274,0.000368,0,0.001966,F,EPFU
EPFU7,275,0.000529,0.000104,0.002223,F,EPFU
EPFU7,276,0.000438,0,0.002627,F,EPFU
EPFU7,277,0.000458,0,0.00263,F,EPFU
EPFU7,278,0.000367,0.000053,0.002075,F,EPFU
EPFU7,279,0.000376,0,0.002155,F,EPFU
EPFU7,280,0.000202,0,0.001963,F,EPFU
EPFU7,281,0.00027,0.000023,0.002505,F,EPFU
EPFU7,282,0.000221,0,0.002376,F,EPFU
EPFU7,283,0.000357,0.000057,0.002621,F,EPFU
EPFU7,284,0.000349,0,0.002451,F,EPFU
EPFU7,285,0.000666,0.000004,0.003215,F,EPFU
EPFU7,286,0.000223,0,0.002375,F,EPFU
EPFU7,287,0.000592,0,0.002881,F,EPFU
EPFU7,288,0.000535,0,0.002778,F,EPFU
EPFU7,289,0.000322,0,0.002846,F,EPFU
EPFU7,290,0.000657,0,0.003035,F,EPFU
EPFU7,291,0.000293,0,0.00267,F,EPFU
EPFU7,292,0.000439,0,0.00276,F,EPFU
EPFU7,293,0.000438,0,0.002919,F,EPFU
EPFU7,294,0.000739,0,0.003256,F,EPFU
EPFU7,295,0.00062,0,0.002732,F,EPFU
EPFU7,296,0.000338,0,0.003189,F,EPFU
EPFU7,297,0.000626,0.000065,0.003579,F,EPFU
