ID,Wavelength,Value,Dark,Reference,Sex,Species
EPFU10,250,0.000262,0.000051,0.000971,M,EPFU
EPFU10,251,0.000385,0,0.001157,M,EPFU
EPFU10,252,0.000802,0.000121,0.001256,M,EPFU
EPFU10,253,0.000548,0,0.001465,M,EPFU
EPFU10,254,0.0003,0,0.001274,M,EPFU
EPFU10,255,0.000204,0,0.00102,M,EPFU
EPFU10,256,0.000249,0,0.001204,M,EPFU
EPFU10,257,0.000262,0.00001,0.001128,M,EPFU
EPFU10,258,0.000537,0.00001,0.001482,M,EPFU
EPFU10,259,0.000386,0.000195,0.00124,M,EPFU
EPFU10,260,0.000525,0.000094,0.001338,M,EPFU
EPFU10,261,0.000963,0.000007,0.001418,M,EPFU
EPFU10,262,0.000393,0.000053,0.001613,M,EPFU
EPFU10,263,0.000455,0.000013,0.002033,M,EPFU
EPFU10,264,0.000494,0,0.001475,M,EPFU
EPFU10,265,0.000385,0,0.002026,M,EPFU
EPFU10,266,0.000553,0.000123,0.001793,M,EPFU
EPFU10,267,0.000464,0.000074,0.001985,M,EPFU
EPFU10,268,0.000436,0,0.002205,M,EPFU
EPFU10,269,0.00061,0,0.001991,M,EPFU
EPFU10,270,0.000616,0,0.002408,M,EPFU
EPFU10,271,0.001441,0.000113,0.002477,M,EPFU
EPFU10,272,0.000461,0.000052,0.002337,M,EPFU
EPFU10,273,0.000883,0,0.00222,M,EPFU
EPFU10,274,0.00117,0.00029,0.002483,M,EPFU
EPFU10,275,0.001677,0.000123,0.002973,M,EPFU
EPFU10,276,0.001169,0,0.003159,M,EPFU
EPFU10,277,0.001016,0.0001,0.002996,M,EPFU
EPFU10,278,0.00075,0,0.002704,M,EPFU
EPFU10,279,0.000929,0,0.002662,M,EPFU
EPFU10,280,0.001024,0,0.002567,M,EPFU
EPFU10,281,0.000773,0,0.002968,M,EPFU
EPFU10,282,0.000486,0,0.00288,M,EPFU
EPFU10,283,0.000901,0.000013,0.003016,M,EPFU
EPFU10,284,0.000708,0,0.003045,M,EPFU
EPFU10,285,0.000627,0,0.003362,M,EPFU
EPFU10,286,0.000713,0,0.003001,M,EPFU
EPFU10,287,0.001068,0.000112,0.003281,M,EPFU
EPFU10,288,0.000782,0,0.003338,M,EPFU
EPFU10,289,0.000913,0.000056,0.003024,M,EPFU
EPFU10,290,0.001565,0,0.00375,M,EPFU
EPFU10,291,0.000758,0.000077,0.003494,M,EPFU
EPFU10,292,0.000633,0,0.003528,M,EPFU
EPFU10,293,0.001114,0.000112,0.003329,M,EPFU
EPFU10,294,0.002219,0.000311,0.003781,M,EPFU
EPFU10,295,0.00105,0.000113,0.003472,M,EPFU
EPFU10,296,0.000882,0,0.003707,M,EPFU
