ID,Wavelength,Value,Dark,Reference,Sex,Species
LABO4,250,0.000233,0.000051,0.000971,M,LABO
LABO4,251,0.000197,0,0.001157,M,LABO
LABO4,252,0.000623,0.000121,0.001256,M,LABO
LABO4,253,0.000348,0,0.001465,M,LABO
LABO4,254,0.000211,0,0.001274,M,LABO
LABO4,255,0.000133,0,0.00102,M,LABO
LABO4,256,0.000133,0,0.001204,M,LABO
LABO4,257,0.000052,0.00001,0.001128,M,LABO
LABO4,258,0.000431,0.00001,0.001482,M,LABO
LABO4,259,0.000226,0.000195,0.00124,M,LABO
LABO4,260,0.000462,0.000094,0.001338,M,LABO
LABO4,261,0.001004,0.000007,0.001418,M,LABO
LABO4,262,0.000506,0.000053,0.001613,M,LABO
LABO4,263,0.000098,0.000013,0.002033,M,LABO
LABO4,264,0.000425,0,0.001475,M,LABO
LABO4,265,0.000313,0,0.002026,M,LABO
LABO4,266,0.000487,0.000123,0.001793,M,LABO
LABO4,267,0.000319,0.000074,0.001985,M,LABO
LABO4,268,0.000319,0,0.002205,M,LABO
LABO4,269,0.000337,0,0.001991,M,LABO
LABO4,270,0.000199,0,0.002408,M,LABO
LABO4,271,0.001089,0.000113,0.002477,M,LABO
LABO4,272,0.000114,0.000052,0.002337,M,LABO
LABO4,273,0.000793,0,0.00222,M,LABO
LABO4,274,0.00123,0.00029,0.002483,M,LABO
LABO4,275,0.001558,0.000123,0.002973,M,LABO
LABO4,276,0.000957,0,0.003159,M,LABO
LABO4,277,0.000783,0.0001,0.002996,M,LABO
LABO4,278,0.000304,0,0.002704,M,LABO
LABO4,279,0.000732,0,0.002662,M,LABO
LABO4,280,0.000864,0,0.002567,M,LABO
LABO4,281,0.000633,0,0.002968,M,LABO
LABO4,282,0.000344,0,0.00288,M,LABO
LABO4,283,0.000662,0.000013,0.003016,M,LABO
LABO4,284,0.000368,0,0.003045,M,LABO
LABO4,285,0.000386,0,0.003362,M,LABO
LABO4,286,0.000688,0,0.003001,M,LABO
LABO4,287,0.001073,0.000112,0.003281,M,LABO
LABO4,288,0.000577,0,0.003338,M,LABO
LABO4,289,0.000769,0.000056,0.003024,M,LABO
LABO4,290,0.001391,0,0.00375,M,LABO
LABO4,291,0.000454,0.000077,0.003494,M,LABO
LABO4,292,0.000756,0,0.003528,M,LABO
LABO4,293,0.001146,0.000112,0.003329,M,LABO
LABO4,294,0.002256,0.000311,0.003781,M,LABO
LABO4,295,0.001056,0.000113,0.003472,M,LABO
LABO4,296,0.000923,0,0.003707,M,LABO
