ID,Wavelength,Value,Dark,Reference,Sex,Species 
LABO1,250,0.000213,0.000025,0.000794,F,LABO
LABO1,251,0.00011,0.000015,0.000995,F,LABO
LABO1,252,0.000224,0.000038,0.00095,F,LABO
LABO1,253,0.000112,0,0.001201,F,LABO
LABO1,254,0.000196,0.000024,0.001071,F,LABO
LABO1,255,0.000148,0,0.000886,F,LABO
LABO1,256,0.000224,0,0.001036,F,LABO
LABO1,257,0.000146,0,0.000956,F,LABO
LABO1,258,0.000154,0,0.001241,F,LABO
LABO1,259,0.00023,0.000023,0.001148,F,LABO
LABO1,260,0.000299,0,0.001109,F,LABO
LABO1,261,0.000387,0.000049,0.001291,F,LABO
LABO1,262,0.000311,0.000042,0.001311,F,LABO
LABO1,263,0.000192,0,0.001602,F,LABO
LABO1,264,0.000351,0.000021,0.001493,F,LABO
LABO1,265,0.0003,0.00004,0.001787,F,LABO
LABO1,266,0.000254,0.000019,0.001514,F,LABO
LABO1,267,0.000204,0,0.00137,F,LABO
LABO1,268,0.000201,0,0.001793,F,LABO
LABO1,269,0.000016,0,0.001589,F,LABO
LABO1,270,0.00045,0.00021,0.002368,F,LABO
LABO1,271,0.000426,0.000052,0.002461,F,LABO
LABO1,272,0.000337,0.000007,0.001976,F,LABO
LABO1,273,0.000269,0,0.001657,F,LABO
LABO1,274,0.000518,0,0.001966,F,LABO
LABO1,275,0.000752,0.000104,0.002223,F,LABO
LABO1,276,0.000497,0,0.002627,F,LABO
LABO1,277,0.000334,0,0.00263,F,LABO
LABO1,278,0.000313,0.000053,0.002075,F,LABO
LABO1,279,0.000462,0,0.002155,F,LABO
LABO1,280,0.000395,0,0.001963,F,LABO
LABO1,281,0.000193,0.000023,0.002505,F,LABO
LABO1,282,0.000114,0,0.002376,F,LABO
LABO1,283,0.000312,0.000057,0.002621,F,LABO
LABO1,284,0.000167,0,0.002451,F,LABO
LABO1,285,0.000601,0.000004,0.003215,F,LABO
LABO1,286,0.00039,0,0.002375,F,LABO
LABO1,287,0.0007,0,0.002881,F,LABO
LABO1,288,0.0005,0,0.002778,F,LABO
LABO1,289,0.000341,0,0.002846,F,LABO
LABO1,290,0.000645,0,0.003035,F,LABO
LABO1,291,0.000552,0,0.00267,F,LABO
LABO1,292,0.000368,0,0.00276,F,LABO
LABO1,293,0.000501,0,0.002919,F,LABO
LABO1,294,0.000896,0,0.003256,F,LABO
LABO1,295,0.00039,0,0.002732,F,LABO
LABO1,296,0.000457,0,0.003189,F,LABO
LABO1,297,0.000585,0.000065,0.003579,F,LABO
LABO1,298,0.000856,0.000082,0.003477,F,LABO
LABO1,299,0.000507,0,0.003335,F,LABO
LABO1,300,0.000792,0,0.003622,F,LABO
LABO1,301,0.000286,0,0.003132,F,LABO
LABO1,302,0.000279,0,0.003067,F,LABO
LABO1,303,0.000543,0.000198,0.003306,F,LABO
LABO1,304,0.000727,0,0.003438,F,LABO
LABO1,305,0.001045,0.00008,0.003522,F,LABO
LABO1,306,0.000291,0,0.003384,F,LABO
LABO1,307,0.000433,0,0.003625,F,LABO
LABO1,308,0.001342,0.000246,0.003572,F,LABO
LABO1,309,0.000964,0.000119,0.003595,F,LABO
LABO1,310,0.000874,0.000304,0.003819,F,LABO
LABO1,311,0.000579,0,0.003608,F,LABO
LABO1,312,0.000457,0,0.003495,F,LABO
LABO1,313,0.000523,0.000041,0.003735,F,LABO
LABO1,314,0.000511,0,0.003993,F,LABO
LABO1,315,0.000856,0,0.003669,F,LABO
LABO1,316,0.000465,0,0.003618,F,LABO
LABO1,317,0.000517,0,0.003537,F,LABO
LABO1,318,0.000926,0.000138,0.003847,F,LABO
LABO1,319,0.000377,0,0.003507,F,LABO
LABO1,320,0.000158,0,0.003584,F,LABO
LABO1,321,0.000641,0,0.003517,F,LABO
LABO1,322,0.000801,0,0.003737,F,LABO
LABO1,323,0.000805,0,0.003563,F,LABO
LABO1,324,0.000494,0,0.003538,F,LABO
LABO1,325,0.000687,0.000157,0.003949,F,LABO
LABO1,326,0.000174,0,0.003423,F,LABO
LABO1,327,0.0003,0,0.003502,F,LABO
LABO1,328,0.000638,0,0.003718,F,LABO
LABO1,329,0.000479,0,0.003514,F,LABO
LABO1,330,0.000949,0,0.003802,F,LABO
LABO1,331,0.00045,0,0.00385,F,LABO
LABO1,332,0.000395,0.000095,0.003725,F,LABO
LABO1,333,0.00077,0,0.004177,F,LABO
LABO1,334,0.001023,0,0.003936,F,LABO
LABO1,335,0.000769,0,0.003879,F,LABO
LABO1,336,0.00049,0,0.003799,F,LABO
LABO1,337,0.000579,0,0.003964,F,LABO
LABO1,338,0.000685,0.000033,0.003996,F,LABO
LABO1,339,0.000546,0,0.004394,F,LABO
LABO1,340,0.000842,0.000046,0.00445,F,LABO
LABO1,341,0.00095,0.000083,0.004558,F,LABO
LABO1,342,0.000492,0,0.004446,F,LABO
LABO1,343,0.000495,0,0.004374,F,LABO
LABO1,344,0.000978,0.00007,0.004641,F,LABO
LABO1,345,0.000715,0.000008,0.004771,F,LABO
LABO1,346,0.000714,0,0.004977,F,LABO
LABO1,347,0.000804,0,0.004776,F,LABO
LABO1,348,0.000854,0.000135,0.004752,F,LABO
LABO1,349,0.000751,0,0.005097,F,LABO
LABO1,350,0.000463,0,0.004979,F,LABO
LABO1,351,0.000581,0.000028,0.005251,F,LABO
LABO1,352,0.000675,0,0.005783,F,LABO
LABO1,353,0.000949,0,0.006012,F,LABO
LABO1,354,0.001061,0.000023,0.005946,F,LABO
LABO1,355,0.000782,0,0.005929,F,LABO
LABO1,356,0.001011,0.000045,0.006256,F,LABO
LABO1,357,0.000905,0,0.006303,F,LABO
LABO1,358,0.001231,0.000167,0.006664,F,LABO
LABO1,359,0.000995,0,0.00682,F,LABO
LABO1,360,0.001024,0,0.006763,F,LABO
LABO1,361,0.001238,0,0.007545,F,LABO
LABO1,362,0.000846,0,0.007446,F,LABO
LABO1,363,0.001109,0,0.00848,F,LABO
LABO1,364,0.000926,0,0.008084,F,LABO
LABO1,365,0.00107,0,0.008073,F,LABO
LABO1,366,0.001365,0.000098,0.008833,F,LABO
LABO1,367,0.001332,0,0.009362,F,LABO
LABO1,368,0.001482,0,0.010008,F,LABO
LABO1,369,0.001441,0,0.010126,F,LABO
LABO1,370,0.001735,0.000173,0.011109,F,LABO
LABO1,371,0.001575,0.000057,0.012215,F,LABO
LABO1,372,0.001702,0.000012,0.012167,F,LABO
LABO1,373,0.00194,0,0.014136,F,LABO
LABO1,374,0.002148,0,0.015223,F,LABO
LABO1,375,0.002276,0,0.016783,F,LABO
LABO1,376,0.002638,0,0.018496,F,LABO
LABO1,377,0.003082,0,0.021777,F,LABO
LABO1,378,0.003158,0.000127,0.02325,F,LABO
LABO1,379,0.003741,0,0.026591,F,LABO
LABO1,380,0.004747,0,0.032341,F,LABO
LABO1,381,0.005037,0.000101,0.0354,F,LABO
LABO1,382,0.006031,0.000193,0.043464,F,LABO
LABO1,383,0.007443,0,0.053197,F,LABO
LABO1,384,0.009341,0.000008,0.066493,F,LABO
LABO1,385,0.010064,0,0.073046,F,LABO
LABO1,386,0.01335,0.000043,0.09749,F,LABO
LABO1,387,0.017018,0.000027,0.112897,F,LABO
LABO1,388,0.019533,0,0.136317,F,LABO
LABO1,389,0.025714,0,0.164331,F,LABO
LABO1,390,0.03477,0,0.217273,F,LABO
LABO1,391,0.04071,0.000107,0.248225,F,LABO
LABO1,392,0.052412,0,0.274046,F,LABO
LABO1,393,0.071282,0,0.317611,F,LABO
LABO1,394,0.078951,0.000001,0.300065,F,LABO
LABO1,395,0.104815,0,0.313995,F,LABO
LABO1,396,0.136838,0.000017,0.305636,F,LABO
LABO1,397,0.15989,0.000097,0.3068,F,LABO
LABO1,398,0.191514,0.000005,0.306606,F,LABO
LABO1,399,0.226175,0,0.306092,F,LABO
LABO1,400,0.242624,0,0.302656,F,LABO
LABO1,401,0.289614,0,0.307806,F,LABO
LABO1,402,0.290944,0,0.298602,F,LABO
LABO1,403,0.28667,0,0.297056,F,LABO
LABO1,404,0.294509,0.000206,0.29468,F,LABO
LABO1,405,0.294792,0,0.294964,F,LABO
LABO1,406,0.293943,0,0.294113,F,LABO
LABO1,407,0.294594,0,0.294871,F,LABO
LABO1,408,0.294513,0.000061,0.294792,F,LABO
LABO1,409,0.296625,0,0.296905,F,LABO
LABO1,410,0.292757,0,0.292927,F,LABO
LABO1,411,0.292496,0,0.292665,F,LABO
LABO1,412,0.29026,0,0.290428,F,LABO
LABO1,413,0.292242,0,0.292518,F,LABO
LABO1,414,0.289341,0.000122,0.289614,F,LABO
LABO1,415,0.290161,0.000048,0.290434,F,LABO
LABO1,416,0.291417,0,0.291692,F,LABO
LABO1,417,0.288815,0.000227,0.288982,F,LABO
LABO1,418,0.289394,0,0.289562,F,LABO
LABO1,419,0.288384,0,0.288551,F,LABO
LABO1,420,0.288615,0.000017,0.288887,F,LABO
LABO1,421,0.287763,0.000037,0.288034,F,LABO
LABO1,422,0.289502,0.000019,0.289775,F,LABO
LABO1,423,0.287729,0,0.287895,F,LABO
LABO1,424,0.289402,0,0.289569,F,LABO
LABO1,425,0.289606,0.000042,0.289773,F,LABO
LABO1,426,0.282972,0.000066,0.28751,F,LABO
LABO1,427,0.287891,0.000123,0.288162,F,LABO
LABO1,428,0.270554,0,0.288591,F,LABO
LABO1,429,0.277107,0,0.286216,F,LABO
LABO1,430,0.286982,0,0.287147,F,LABO
LABO1,431,0.267358,0,0.285651,F,LABO
LABO1,432,0.221795,0.000109,0.285794,F,LABO
LABO1,433,0.24611,0.00003,0.282616,F,LABO
LABO1,434,0.219792,0,0.282304,F,LABO
LABO1,435,0.199142,0,0.280731,F,LABO
LABO1,436,0.190452,0,0.279184,F,LABO
LABO1,437,0.157141,0,0.278446,F,LABO
LABO1,438,0.141928,0,0.278064,F,LABO
LABO1,439,0.130704,0,0.274483,F,LABO
LABO1,440,0.132626,0,0.27319,F,LABO
LABO1,441,0.109861,0,0.269568,F,LABO
LABO1,442,0.092569,0,0.263282,F,LABO
LABO1,443,0.092654,0,0.269298,F,LABO
LABO1,444,0.079345,0,0.265196,F,LABO
LABO1,445,0.07078,0,0.263897,F,LABO
LABO1,446,0.063513,0.000043,0.245646,F,LABO
LABO1,447,0.058673,0.000048,0.245762,F,LABO
LABO1,448,0.050306,0.000013,0.20829,F,LABO
LABO1,449,0.047069,0,0.196516,F,LABO
LABO1,450,0.044024,0.00009,0.1977,F,LABO
LABO1,451,0.037136,0,0.151181,F,LABO
LABO1,452,0.036806,0,0.167286,F,LABO
LABO1,453,0.035128,0,0.150802,F,LABO
LABO1,454,0.032385,0,0.14644,F,LABO
LABO1,455,0.030431,0,0.128938,F,LABO
LABO1,456,0.029425,0.000005,0.126498,F,LABO
LABO1,457,0.025597,0.000056,0.101382,F,LABO
LABO1,458,0.024597,0,0.1002,F,LABO
LABO1,459,0.023806,0,0.094254,F,LABO
LABO1,460,0.021883,0,0.08442,F,LABO
LABO1,461,0.020093,0.000065,0.075137,F,LABO
LABO1,462,0.019118,0,0.068247,F,LABO
LABO1,463,0.01903,0.000099,0.065726,F,LABO
LABO1,464,0.01795,0.000011,0.06143,F,LABO
LABO1,465,0.017412,0.000037,0.056392,F,LABO
LABO1,466,0.016447,0.000052,0.053882,F,LABO
LABO1,467,0.016082,0,0.050095,F,LABO
LABO1,468,0.01546,0,0.046033,F,LABO
LABO1,469,0.015069,0,0.043927,F,LABO
LABO1,470,0.014471,0,0.039913,F,LABO
LABO1,471,0.014287,0.000033,0.037618,F,LABO
LABO1,472,0.013409,0,0.033531,F,LABO
LABO1,473,0.013688,0,0.033332,F,LABO
LABO1,474,0.013433,0.000025,0.030073,F,LABO
LABO1,475,0.012823,0,0.027749,F,LABO
LABO1,476,0.012985,0,0.027023,F,LABO
LABO1,477,0.012189,0,0.023923,F,LABO
LABO1,478,0.012192,0,0.022311,F,LABO
LABO1,479,0.0122,0.000115,0.021668,F,LABO
LABO1,480,0.011969,0.000022,0.019921,F,LABO
LABO1,481,0.01172,0,0.018534,F,LABO
LABO1,482,0.011452,0,0.01715,F,LABO
LABO1,483,0.011202,0,0.016364,F,LABO
LABO1,484,0.01142,0,0.015475,F,LABO
LABO1,485,0.011003,0.000077,0.01428,F,LABO
LABO1,486,0.010786,0,0.013617,F,LABO
LABO1,487,0.010592,0,0.012732,F,LABO
LABO1,488,0.010638,0,0.01247,F,LABO
LABO1,489,0.010409,0.000046,0.011765,F,LABO
LABO1,490,0.010185,0.000034,0.011314,F,LABO
LABO1,491,0.010054,0.000006,0.01068,F,LABO
LABO1,492,0.009589,0.000071,0.009694,F,LABO
LABO1,493,0.009793,0,0.009905,F,LABO
LABO1,494,0.009386,0,0.009239,F,LABO
LABO1,495,0.00927,0,0.00884,F,LABO
LABO1,496,0.009285,0,0.008823,F,LABO
