ID,Wavelength,Value,Dark,Reference,Sex,Species 
LASE1,250,0.000138,0.000025,0.000794,F,LASE
LASE1,251,0.000121,0.000015,0.000995,F,LASE
LASE1,252,0.000176,0.000038,0.00095,F,LASE
LASE1,253,0.000166,0,0.001201,F,LASE
LASE1,254,0.000253,0.000024,0.001071,F,LASE
LASE1,255,0.000119,0,0.000886,F,LASE
LASE1,256,0.000209,0,0.001036,F,LASE
LASE1,257,0.000109,0,0.000956,F,LASE
LASE1,258,0.000191,0,0.001241,F,LASE
LASE1,259,0.00018,0.000023,0.001148,F,LASE
LASE1,260,0.000209,0,0.001109,F,LASE
LASE1,261,0.000299,0.000049,0.001291,F,LASE
LASE1,262,0.000271,0.000042,0.001311,F,LASE
LASE1,263,0.000243,0,0.001602,F,LASE
LASE1,264,0.000247,0.000021,0.001493,F,LASE
LASE1,265,0.00038,0.00004,0.001787,F,LASE
LASE1,266,0.000276,0.000019,0.001514,F,LASE
LASE1,267,0.000223,0,0.00137,F,LASE
LASE1,268,0.000368,0,0.001793,F,LASE
LASE1,269,0.000161,0,0.001589,F,LASE
LASE1,270,0.000586,0.00021,0.002368,F,LASE
LASE1,271,0.000686,0.000052,0.002461,F,LASE
LASE1,272,0.000274,0.000007,0.001976,F,LASE
LASE1,273,0.000355,0,0.001657,F,LASE
LASE1,274,0.000426,0,0.001966,F,LASE
LASE1,275,0.000642,0.000104,0.002223,F,LASE
LASE1,276,0.000397,0,0.002627,F,LASE
LASE1,277,0.000448,0,0.00263,F,LASE
LASE1,278,0.000377,0.000053,0.002075,F,LASE
LASE1,279,0.000437,0,0.002155,F,LASE
LASE1,280,0.00017,0,0.001963,F,LASE
LASE1,281,0.000325,0.000023,0.002505,F,LASE
LASE1,282,0.000095,0,0.002376,F,LASE
LASE1,283,0.000476,0.000057,0.002621,F,LASE
LASE1,284,0.00044,0,0.002451,F,LASE
LASE1,285,0.000613,0.000004,0.003215,F,LASE
LASE1,286,0.000374,0,0.002375,F,LASE
LASE1,287,0.000546,0,0.002881,F,LASE
LASE1,288,0.000377,0,0.002778,F,LASE
LASE1,289,0.000397,0,0.002846,F,LASE
LASE1,290,0.00052,0,0.003035,F,LASE
LASE1,291,0.00036,0,0.00267,F,LASE
LASE1,292,0.000452,0,0.00276,F,LASE
LASE1,293,0.000562,0,0.002919,F,LASE
LASE1,294,0.000894,0,0.003256,F,LASE
LASE1,295,0.000579,0,0.002732,F,LASE
LASE1,296,0.00032,0,0.003189,F,LASE
LASE1,297,0.000591,0.000065,0.003579,F,LASE
LASE1,298,0.00091,0.000082,0.003477,F,LASE
LASE1,299,0.000455,0,0.003335,F,LASE
LASE1,300,0.000937,0,0.003622,F,LASE
LASE1,301,0.000383,0,0.003132,F,LASE
LASE1,302,0.000266,0,0.003067,F,LASE
LASE1,303,0.000895,0.000198,0.003306,F,LASE
LASE1,304,0.0006,0,0.003438,F,LASE
LASE1,305,0.001137,0.00008,0.003522,F,LASE
LASE1,306,0.000322,0,0.003384,F,LASE
LASE1,307,0.000404,0,0.003625,F,LASE
LASE1,308,0.00145,0.000246,0.003572,F,LASE
LASE1,309,0.000868,0.000119,0.003595,F,LASE
LASE1,310,0.000953,0.000304,0.003819,F,LASE
LASE1,311,0.000621,0,0.003608,F,LASE
LASE1,312,0.000574,0,0.003495,F,LASE
LASE1,313,0.00074,0.000041,0.003735,F,LASE
LASE1,314,0.00074,0,0.003993,F,LASE
LASE1,315,0.000587,0,0.003669,F,LASE
LASE1,316,0.000516,0,0.003618,F,LASE
LASE1,317,0.000599,0,0.003537,F,LASE
LASE1,318,0.000837,0.000138,0.003847,F,LASE
LASE1,319,0.000628,0,0.003507,F,LASE
LASE1,320,0.000409,0,0.003584,F,LASE
LASE1,321,0.000667,0,0.003517,F,LASE
LASE1,322,0.000592,0,0.003737,F,LASE
LASE1,323,0.00049,0,0.003563,F,LASE
LASE1,324,0.000624,0,0.003538,F,LASE
LASE1,325,0.000742,0.000157,0.003949,F,LASE
LASE1,326,0.000335,0,0.003423,F,LASE
LASE1,327,0.00044,0,0.003502,F,LASE
LASE1,328,0.000556,0,0.003718,F,LASE
LASE1,329,0.000528,0,0.003514,F,LASE
LASE1,330,0.000838,0,0.003802,F,LASE
LASE1,331,0.000506,0,0.00385,F,LASE
LASE1,332,0.000511,0.000095,0.003725,F,LASE
LASE1,333,0.000778,0,0.004177,F,LASE
LASE1,334,0.000902,0,0.003936,F,LASE
LASE1,335,0.000849,0,0.003879,F,LASE
LASE1,336,0.000745,0,0.003799,F,LASE
LASE1,337,0.000582,0,0.003964,F,LASE
LASE1,338,0.000658,0.000033,0.003996,F,LASE
LASE1,339,0.000644,0,0.004394,F,LASE
LASE1,340,0.001089,0.000046,0.00445,F,LASE
LASE1,341,0.00088,0.000083,0.004558,F,LASE
LASE1,342,0.000668,0,0.004446,F,LASE
LASE1,343,0.000435,0,0.004374,F,LASE
LASE1,344,0.000803,0.00007,0.004641,F,LASE
LASE1,345,0.000815,0.000008,0.004771,F,LASE
LASE1,346,0.000736,0,0.004977,F,LASE
LASE1,347,0.000881,0,0.004776,F,LASE
LASE1,348,0.000917,0.000135,0.004752,F,LASE
LASE1,349,0.000805,0,0.005097,F,LASE
LASE1,350,0.000507,0,0.004979,F,LASE
LASE1,351,0.000646,0.000028,0.005251,F,LASE
LASE1,352,0.0009,0,0.005783,F,LASE
LASE1,353,0.00094,0,0.006012,F,LASE
LASE1,354,0.001222,0.000023,0.005946,F,LASE
LASE1,355,0.000834,0,0.005929,F,LASE
LASE1,356,0.001053,0.000045,0.006256,F,LASE
LASE1,357,0.001079,0,0.006303,F,LASE
LASE1,358,0.001182,0.000167,0.006664,F,LASE
LASE1,359,0.001242,0,0.00682,F,LASE
LASE1,360,0.00104,0,0.006763,F,LASE
LASE1,361,0.001325,0,0.007545,F,LASE
LASE1,362,0.000943,0,0.007446,F,LASE
LASE1,363,0.001226,0,0.00848,F,LASE
LASE1,364,0.001138,0,0.008084,F,LASE
LASE1,365,0.001172,0,0.008073,F,LASE
LASE1,366,0.001665,0.000098,0.008833,F,LASE
LASE1,367,0.001363,0,0.009362,F,LASE
LASE1,368,0.001693,0,0.010008,F,LASE
LASE1,369,0.001642,0,0.010126,F,LASE
LASE1,370,0.001774,0.000173,0.011109,F,LASE
LASE1,371,0.001882,0.000057,0.012215,F,LASE
LASE1,372,0.001755,0.000012,0.012167,F,LASE
LASE1,373,0.002075,0,0.014136,F,LASE
LASE1,374,0.002415,0,0.015223,F,LASE
LASE1,375,0.002512,0,0.016783,F,LASE
LASE1,376,0.002801,0,0.018496,F,LASE
LASE1,377,0.003586,0,0.021777,F,LASE
LASE1,378,0.003724,0.000127,0.02325,F,LASE
LASE1,379,0.004153,0,0.026591,F,LASE
