ID,Wavelength,Value,Dark,Reference,Sex,Species
LASE4,250,0.00009,0.000051,0.000971,F,LASE
LASE4,251,0.000036,0,0.001157,F,LASE
LASE4,252,0.00048,0.000121,0.001256,F,LASE
LASE4,253,0.000207,0,0.001465,F,LASE
LASE4,254,0.000076,0,0.001274,F,LASE
LASE4,255,0,0,0.00102,F,LASE
LASE4,256,0.00008,0,0.001204,F,LASE
LASE4,257,0.000006,0.00001,0.001128,F,LASE
LASE4,258,0.000173,0.00001,0.001482,F,LASE
LASE4,259,0.000023,0.000195,0.00124,F,LASE
LASE4,260,0.000208,0.000094,0.001338,F,LASE
LASE4,261,0.000589,0.000007,0.001418,F,LASE
LASE4,262,0.000235,0.000053,0.001613,F,LASE
LASE4,263,0.00009,0.000013,0.002033,F,LASE
LASE4,264,0,0,0.001475,F,LASE
LASE4,265,0,0,0.002026,F,LASE
LASE4,266,0.000274,0.000123,0.001793,F,LASE
LASE4,267,0.000173,0.000074,0.001985,F,LASE
LASE4,268,0,0,0.002205,F,LASE
LASE4,269,0.000057,0,0.001991,F,LASE
LASE4,270,0.000057,0,0.002408,F,LASE
LASE4,271,0.000655,0.000113,0.002477,F,LASE
LASE4,272,0,0.000052,0.002337,F,LASE
LASE4,273,0.000436,0,0.00222,F,LASE
LASE4,274,0.000666,0.00029,0.002483,F,LASE
LASE4,275,0.000888,0.000123,0.002973,F,LASE
LASE4,276,0.000474,0,0.003159,F,LASE
LASE4,277,0.000083,0.0001,0.002996,F,LASE
LASE4,278,0.000159,0,0.002704,F,LASE
LASE4,279,0.000407,0,0.002662,F,LASE
LASE4,280,0.00061,0,0.002567,F,LASE
LASE4,281,0.000349,0,0.002968,F,LASE
LASE4,282,0.000028,0,0.00288,F,LASE
LASE4,283,0.000268,0.000013,0.003016,F,LASE
LASE4,284,0.000006,0,0.003045,F,LASE
LASE4,285,0.000122,0,0.003362,F,LASE
LASE4,286,0.000372,0,0.003001,F,LASE
LASE4,287,0.000577,0.000112,0.003281,F,LASE
LASE4,288,0.000117,0,0.003338,F,LASE
LASE4,289,0.000332,0.000056,0.003024,F,LASE
LASE4,290,0.000621,0,0.00375,F,LASE
LASE4,291,0.00043,0.000077,0.003494,F,LASE
LASE4,292,0,0,0.003528,F,LASE
LASE4,293,0.000531,0.000112,0.003329,F,LASE
LASE4,294,0.001448,0.000311,0.003781,F,LASE
LASE4,295,0.000436,0.000113,0.003472,F,LASE
LASE4,296,0.000238,0,0.003707,F,LASE
LASE4,297,0.000365,0.000001,0.004306,F,LASE
LASE4,298,0.000976,0.000071,0.004214,F,LASE
LASE4,299,0.000506,0,0.004185,F,LASE
LASE4,300,0.001204,0,0.004569,F,LASE
LASE4,301,0.000069,0,0.00359,F,LASE
LASE4,302,0.000253,0.000001,0.004184,F,LASE
LASE4,303,0.000982,0.000173,0.004071,F,LASE
LASE4,304,0.001056,0,0.004315,F,LASE
LASE4,305,0.001864,0.000326,0.004541,F,LASE
LASE4,306,0.000046,0.000119,0.004274,F,LASE
LASE4,307,0.000914,0.000165,0.004375,F,LASE
LASE4,308,0.002501,0.000264,0.005196,F,LASE
LASE4,309,0.001185,0.000058,0.004333,F,LASE
LASE4,310,0.000361,0,0.004566,F,LASE
LASE4,311,0.000634,0,0.0044,F,LASE
LASE4,312,0.000183,0,0.004361,F,LASE
LASE4,313,0.000144,0,0.004089,F,LASE
LASE4,314,0.000669,0,0.004526,F,LASE
LASE4,315,0.000808,0,0.004479,F,LASE
LASE4,316,0.000401,0,0.004412,F,LASE
LASE4,317,0.00076,0.000136,0.004331,F,LASE
LASE4,318,0.000904,0,0.004758,F,LASE
LASE4,319,0.000212,0,0.004159,F,LASE
LASE4,320,0,0.000054,0.004078,F,LASE
LASE4,321,0.000604,0,0.004555,F,LASE
LASE4,322,0.000365,0,0.004525,F,LASE
LASE4,323,0.000677,0,0.004469,F,LASE
LASE4,324,0.000823,0.000132,0.004598,F,LASE
LASE4,325,0.000366,0,0.004575,F,LASE
LASE4,326,0.000225,0.000067,0.004605,F,LASE
LASE4,327,0.000009,0.000017,0.004197,F,LASE
LASE4,328,0.000618,0.000051,0.004538,F,LASE
