ID,Wavelength,Value,Dark,Reference,Sex,Species
MYAU3,250,0.000109,0.000051,0.000971,F,MYAU
MYAU3,251,0.00011,0,0.001157,F,MYAU
MYAU3,252,0.000641,0.000121,0.001256,F,MYAU
MYAU3,253,0.000373,0,0.001465,F,MYAU
MYAU3,254,0.00013,0,0.001274,F,MYAU
MYAU3,255,0.000054,0,0.00102,F,MYAU
MYAU3,256,0.00017,0,0.001204,F,MYAU
MYAU3,257,0.000011,0.00001,0.001128,F,MYAU
MYAU3,258,0.0004,0.00001,0.001482,F,MYAU
MYAU3,259,0.000093,0.000195,0.00124,F,MYAU
MYAU3,260,0.000369,0.000094,0.001338,F,MYAU
MYAU3,261,0.000821,0.000007,0.001418,F,MYAU
MYAU3,262,0.000301,0.000053,0.001613,F,MYAU
MYAU3,263,0.000029,0.000013,0.002033,F,MYAU
MYAU3,264,0.000243,0,0.001475,F,MYAU
MYAU3,265,0.00023,0,0.002026,F,MYAU
MYAU3,266,0.000346,0.000123,0.001793,F,MYAU
MYAU3,267,0.000231,0.000074,0.001985,F,MYAU
MYAU3,268,0.000025,0,0.002205,F,MYAU
MYAU3,269,0.000281,0,0.001991,F,MYAU
MYAU3,270,0.00014,0,0.002408,F,MYAU
MYAU3,271,0.000983,0.000113,0.002477,F,MYAU
MYAU3,272,0,0.000052,0.002337,F,MYAU
MYAU3,273,0.000685,0,0.00222,F,MYAU
MYAU3,274,0.000971,0.00029,0.002483,F,MYAU
MYAU3,275,0.001626,0.000123,0.002973,F,MYAU
MYAU3,276,0.00064,0,0.003159,F,MYAU
MYAU3,277,0.000652,0.0001,0.002996,F,MYAU
MYAU3,278,0.000378,0,0.002704,F,MYAU
MYAU3,279,0.000609,0,0.002662,F,MYAU
MYAU3,280,0.000712,0,0.002567,F,MYAU
MYAU3,281,0.000541,0,0.002968,F,MYAU
MYAU3,282,0.00019,0,0.00288,F,MYAU
MYAU3,283,0.000554,0.000013,0.003016,F,MYAU
MYAU3,284,0.000214,0,0.003045,F,MYAU
MYAU3,285,0.000076,0,0.003362,F,MYAU
MYAU3,286,0.000618,0,0.003001,F,MYAU
MYAU3,287,0.001121,0.000112,0.003281,F,MYAU
MYAU3,288,0.000406,0,0.003338,F,MYAU
MYAU3,289,0.000429,0.000056,0.003024,F,MYAU
MYAU3,290,0.001035,0,0.00375,F,MYAU
MYAU3,291,0.000385,0.000077,0.003494,F,MYAU
MYAU3,292,0.00023,0,0.003528,F,MYAU
MYAU3,293,0.000626,0.000112,0.003329,F,MYAU
MYAU3,294,0.001946,0.000311,0.003781,F,MYAU
MYAU3,295,0.000786,0.000113,0.003472,F,MYAU
MYAU3,296,0.000539,0,0.003707,F,MYAU
MYAU3,297,0.000427,0.000001,0.004306,F,MYAU
MYAU3,298,0.001318,0.000071,0.004214,F,MYAU
MYAU3,299,0.00045,0,0.004185,F,MYAU
MYAU3,300,0.002157,0,0.004569,F,MYAU
MYAU3,301,0.000231,0,0.00359,F,MYAU
MYAU3,302,0.000318,0.000001,0.004184,F,MYAU
MYAU3,303,0.001477,0.000173,0.004071,F,MYAU
MYAU3,304,0.001462,0,0.004315,F,MYAU
MYAU3,305,0.003102,0.000326,0.004541,F,MYAU
MYAU3,306,0.000376,0.000119,0.004274,F,MYAU
MYAU3,307,0.001158,0.000165,0.004375,F,MYAU
MYAU3,308,0.004284,0.000264,0.005196,F,MYAU
MYAU3,309,0.001747,0.000058,0.004333,F,MYAU
MYAU3,310,0.000665,0,0.004566,F,MYAU
MYAU3,311,0.00047,0,0.0044,F,MYAU
MYAU3,312,0.000566,0,0.004361,F,MYAU
MYAU3,313,0.000332,0,0.004089,F,MYAU
MYAU3,314,0.001094,0,0.004526,F,MYAU
MYAU3,315,0.001335,0,0.004479,F,MYAU
MYAU3,316,0.000642,0,0.004412,F,MYAU
MYAU3,317,0.001133,0.000136,0.004331,F,MYAU
MYAU3,318,0.001648,0,0.004758,F,MYAU
MYAU3,319,0.00053,0,0.004159,F,MYAU
MYAU3,320,0.00024,0.000054,0.004078,F,MYAU
MYAU3,321,0.001257,0,0.004555,F,MYAU
MYAU3,322,0.000711,0,0.004525,F,MYAU
MYAU3,323,0.000945,0,0.004469,F,MYAU
MYAU3,324,0.00128,0.000132,0.004598,F,MYAU
MYAU3,325,0.001089,0,0.004575,F,MYAU
MYAU3,326,0.000462,0.000067,0.004605,F,MYAU
MYAU3,327,0.000273,0.000017,0.004197,F,MYAU
