ID,Wavelength,Value,Dark,Reference,Sex,Species 
MYAU5,250,0.000189,0.000051,0.000971,F,MYAU
MYAU5,251,0.000185,0,0.001157,F,MYAU
MYAU5,252,0.000669,0.000121,0.001256,F,MYAU
MYAU5,253,0.000315,0,0.001465,F,MYAU
MYAU5,254,0.000213,0,0.001274,F,MYAU
MYAU5,255,0.000079,0,0.00102,F,MYAU
MYAU5,256,0.000175,0,0.001204,F,MYAU
MYAU5,257,0.000057,0.00001,0.001128,F,MYAU
MYAU5,258,0.000455,0.00001,0.001482,F,MYAU
MYAU5,259,0.000239,0.000195,0.00124,F,MYAU
MYAU5,260,0.000403,0.000094,0.001338,F,MYAU
MYAU5,261,0.000911,0.000007,0.001418,F,MYAU
MYAU5,262,0.000389,0.000053,0.001613,F,MYAU
MYAU5,263,0.000094,0.000013,0.002033,F,MYAU
MYAU5,264,0.000319,0,0.001475,F,MYAU
MYAU5,265,0.000165,0,0.002026,F,MYAU
MYAU5,266,0.000435,0.000123,0.001793,F,MYAU
MYAU5,267,0.000265,0.000074,0.001985,F,MYAU
MYAU5,268,0.000229,0,0.002205,F,MYAU
MYAU5,269,0.000292,0,0.001991,F,MYAU
MYAU5,270,0.000223,0,0.002408,F,MYAU
MYAU5,271,0.001213,0.000113,0.002477,F,MYAU
MYAU5,272,0.00027,0.000052,0.002337,F,MYAU
MYAU5,273,0.000886,0,0.00222,F,MYAU
MYAU5,274,0.001083,0.00029,0.002483,F,MYAU
MYAU5,275,0.001812,0.000123,0.002973,F,MYAU
MYAU5,276,0.000856,0,0.003159,F,MYAU
MYAU5,277,0.000563,0.0001,0.002996,F,MYAU
MYAU5,278,0.00045,0,0.002704,F,MYAU
MYAU5,279,0.000771,0,0.002662,F,MYAU
MYAU5,280,0.000914,0,0.002567,F,MYAU
MYAU5,281,0.000626,0,0.002968,F,MYAU
MYAU5,282,0.000279,0,0.00288,F,MYAU
MYAU5,283,0.000595,0.000013,0.003016,F,MYAU
MYAU5,284,0.000306,0,0.003045,F,MYAU
MYAU5,285,0.000291,0,0.003362,F,MYAU
MYAU5,286,0.000524,0,0.003001,F,MYAU
MYAU5,287,0.001012,0.000112,0.003281,F,MYAU
MYAU5,288,0.000494,0,0.003338,F,MYAU
MYAU5,289,0.000518,0.000056,0.003024,F,MYAU
MYAU5,290,0.0012,0,0.00375,F,MYAU
MYAU5,291,0.000612,0.000077,0.003494,F,MYAU
MYAU5,292,0.000385,0,0.003528,F,MYAU
MYAU5,293,0.000918,0.000112,0.003329,F,MYAU
