ID,Wavelength,Value ,Dark,Reference,Sex,Species
MYGR4,250,0.000136,0.000051,0.000971,F,MYGR
MYGR4,251,0.000157,0,0.001157,F,MYGR
MYGR4,252,0.000707,0.000121,0.001256,F,MYGR
MYGR4,253,0.000413,0,0.001465,F,MYGR
MYGR4,254,0.000108,0,0.001274,F,MYGR
MYGR4,255,0,0,0.00102,F,MYGR
MYGR4,256,0.000085,0,0.001204,F,MYGR
MYGR4,257,0,0.00001,0.001128,F,MYGR
MYGR4,258,0.000328,0.00001,0.001482,F,MYGR
MYGR4,259,0.000149,0.000195,0.00124,F,MYGR
MYGR4,260,0.000425,0.000094,0.001338,F,MYGR
MYGR4,261,0.000935,0.000007,0.001418,F,MYGR
MYGR4,262,0.00018,0.000053,0.001613,F,MYGR
MYGR4,263,0,0.000013,0.002033,F,MYGR
MYGR4,264,0.000161,0,0.001475,F,MYGR
MYGR4,265,0.000116,0,0.002026,F,MYGR
MYGR4,266,0.000224,0.000123,0.001793,F,MYGR
MYGR4,267,0.000245,0.000074,0.001985,F,MYGR
MYGR4,268,0,0,0.002205,F,MYGR
MYGR4,269,0.000158,0,0.001991,F,MYGR
MYGR4,270,0.000186,0,0.002408,F,MYGR
MYGR4,271,0.00112,0.000113,0.002477,F,MYGR
MYGR4,272,0.000058,0.000052,0.002337,F,MYGR
MYGR4,273,0.000559,0,0.00222,F,MYGR
MYGR4,274,0.000928,0.00029,0.002483,F,MYGR
MYGR4,275,0.00139,0.000123,0.002973,F,MYGR
MYGR4,276,0.000707,0,0.003159,F,MYGR
MYGR4,277,0.000461,0.0001,0.002996,F,MYGR
MYGR4,278,0.000284,0,0.002704,F,MYGR
MYGR4,279,0.000504,0,0.002662,F,MYGR
MYGR4,280,0.000656,0,0.002567,F,MYGR
MYGR4,281,0.000389,0,0.002968,F,MYGR
MYGR4,282,0.000041,0,0.00288,F,MYGR
MYGR4,283,0.000471,0.000013,0.003016,F,MYGR
MYGR4,284,0.000062,0,0.003045,F,MYGR
MYGR4,285,0.000102,0,0.003362,F,MYGR
MYGR4,286,0.000395,0,0.003001,F,MYGR
MYGR4,287,0.000986,0.000112,0.003281,F,MYGR
MYGR4,288,0.000232,0,0.003338,F,MYGR
MYGR4,289,0.000479,0.000056,0.003024,F,MYGR
MYGR4,290,0.001103,0,0.00375,F,MYGR
MYGR4,291,0.000286,0.000077,0.003494,F,MYGR
MYGR4,292,0.000276,0,0.003528,F,MYGR
MYGR4,293,0.000517,0.000112,0.003329,F,MYGR
MYGR4,294,0.002159,0.000311,0.003781,F,MYGR
MYGR4,295,0.000668,0.000113,0.003472,F,MYGR
MYGR4,296,0.000453,0,0.003707,F,MYGR
MYGR4,297,0.000161,0.000001,0.004306,F,MYGR
MYGR4,298,0.001267,0.000071,0.004214,F,MYGR
MYGR4,299,0.000417,0,0.004185,F,MYGR
MYGR4,300,0.002111,0,0.004569,F,MYGR
MYGR4,301,0.000174,0,0.00359,F,MYGR
MYGR4,302,0.000308,0.000001,0.004184,F,MYGR
MYGR4,303,0.001391,0.000173,0.004071,F,MYGR
MYGR4,304,0.001551,0,0.004315,F,MYGR
MYGR4,305,0.002942,0.000326,0.004541,F,MYGR
