ID,Wavelength,Value,Dark,Reference,Sex,Species
MYGR5,250,0.000192,0.000051,0.000971,F,MYGR
MYGR5,251,0.000141,0,0.001157,F,MYGR
MYGR5,252,0.000641,0.000121,0.001256,F,MYGR
MYGR5,253,0.000415,0,0.001465,F,MYGR
MYGR5,254,0.000111,0,0.001274,F,MYGR
MYGR5,255,0.000019,0,0.00102,F,MYGR
MYGR5,256,0.000064,0,0.001204,F,MYGR
MYGR5,257,0,0.00001,0.001128,F,MYGR
MYGR5,258,0.000413,0.00001,0.001482,F,MYGR
MYGR5,259,0.000068,0.000195,0.00124,F,MYGR
MYGR5,260,0.000367,0.000094,0.001338,F,MYGR
MYGR5,261,0.000922,0.000007,0.001418,F,MYGR
MYGR5,262,0.000293,0.000053,0.001613,F,MYGR
MYGR5,263,0,0.000013,0.002033,F,MYGR
MYGR5,264,0.000366,0,0.001475,F,MYGR
MYGR5,265,0.000125,0,0.002026,F,MYGR
MYGR5,266,0.000393,0.000123,0.001793,F,MYGR
MYGR5,267,0.000198,0.000074,0.001985,F,MYGR
MYGR5,268,0.000116,0,0.002205,F,MYGR
MYGR5,269,0.000333,0,0.001991,F,MYGR
MYGR5,270,0.000327,0,0.002408,F,MYGR
MYGR5,271,0.000958,0.000113,0.002477,F,MYGR
MYGR5,272,0.000055,0.000052,0.002337,F,MYGR
MYGR5,273,0.000674,0,0.00222,F,MYGR
MYGR5,274,0.001029,0.00029,0.002483,F,MYGR
MYGR5,275,0.001571,0.000123,0.002973,F,MYGR
MYGR5,276,0.000759,0,0.003159,F,MYGR
MYGR5,277,0.000422,0.0001,0.002996,F,MYGR
MYGR5,278,0.000357,0,0.002704,F,MYGR
MYGR5,279,0.000577,0,0.002662,F,MYGR
MYGR5,280,0.000688,0,0.002567,F,MYGR
MYGR5,281,0.000585,0,0.002968,F,MYGR
MYGR5,282,0.000145,0,0.00288,F,MYGR
MYGR5,283,0.000309,0.000013,0.003016,F,MYGR
MYGR5,284,0.00021,0,0.003045,F,MYGR
MYGR5,285,0.000099,0,0.003362,F,MYGR
MYGR5,286,0.000518,0,0.003001,F,MYGR
MYGR5,287,0.000941,0.000112,0.003281,F,MYGR
MYGR5,288,0.000448,0,0.003338,F,MYGR
MYGR5,289,0.000494,0.000056,0.003024,F,MYGR
MYGR5,290,0.001028,0,0.00375,F,MYGR
MYGR5,291,0.000225,0.000077,0.003494,F,MYGR
MYGR5,292,0.000317,0,0.003528,F,MYGR
MYGR5,293,0.001035,0.000112,0.003329,F,MYGR
MYGR5,294,0.002293,0.000311,0.003781,F,MYGR
MYGR5,295,0.000842,0.000113,0.003472,F,MYGR
MYGR5,296,0.00069,0,0.003707,F,MYGR
MYGR5,297,0.000395,0.000001,0.004306,F,MYGR
MYGR5,298,0.001588,0.000071,0.004214,F,MYGR
MYGR5,299,0.000483,0,0.004185,F,MYGR
MYGR5,300,0.002192,0,0.004569,F,MYGR
MYGR5,301,0.000177,0,0.00359,F,MYGR
MYGR5,302,0.000179,0.000001,0.004184,F,MYGR
MYGR5,303,0.001568,0.000173,0.004071,F,MYGR
MYGR5,304,0.001473,0,0.004315,F,MYGR
MYGR5,305,0.003296,0.000326,0.004541,F,MYGR
MYGR5,306,0.000266,0.000119,0.004274,F,MYGR
MYGR5,307,0.001383,0.000165,0.004375,F,MYGR
MYGR5,308,0.004609,0.000264,0.005196,F,MYGR
MYGR5,309,0.001727,0.000058,0.004333,F,MYGR
MYGR5,310,0.000686,0,0.004566,F,MYGR
MYGR5,311,0.000588,0,0.0044,F,MYGR
MYGR5,312,0.000284,0,0.004361,F,MYGR
MYGR5,313,0.000422,0,0.004089,F,MYGR
MYGR5,314,0.001171,0,0.004526,F,MYGR
MYGR5,315,0.001363,0,0.004479,F,MYGR
MYGR5,316,0.000761,0,0.004412,F,MYGR
MYGR5,317,0.000934,0.000136,0.004331,F,MYGR
MYGR5,318,0.001675,0,0.004758,F,MYGR
MYGR5,319,0.000628,0,0.004159,F,MYGR
MYGR5,320,0.000227,0.000054,0.004078,F,MYGR
MYGR5,321,0.001104,0,0.004555,F,MYGR
MYGR5,322,0.000623,0,0.004525,F,MYGR
MYGR5,323,0.001124,0,0.004469,F,MYGR
MYGR5,324,0.001243,0.000132,0.004598,F,MYGR
