ID,Wavelength,Value,Dark,Reference,Sex,Species
TABR4,250,0.000099,0.000051,0.000971,F,TABR
TABR4,251,0.000164,0,0.001157,F,TABR
TABR4,252,0.000334,0.000121,0.001256,F,TABR
TABR4,253,0.000254,0,0.001465,F,TABR
TABR4,254,0.000175,0,0.001274,F,TABR
TABR4,255,0.000048,0,0.00102,F,TABR
TABR4,256,0.000157,0,0.001204,F,TABR
TABR4,257,0.000021,0.00001,0.001128,F,TABR
TABR4,258,0.000228,0.00001,0.001482,F,TABR
TABR4,259,0.000166,0.000195,0.00124,F,TABR
TABR4,260,0.000278,0.000094,0.001338,F,TABR
TABR4,261,0.000433,0.000007,0.001418,F,TABR
TABR4,262,0.000285,0.000053,0.001613,F,TABR
TABR4,263,0.000288,0.000013,0.002033,F,TABR
TABR4,264,0.000248,0,0.001475,F,TABR
TABR4,265,0.000218,0,0.002026,F,TABR
TABR4,266,0.000354,0.000123,0.001793,F,TABR
TABR4,267,0.000386,0.000074,0.001985,F,TABR
TABR4,268,0.000145,0,0.002205,F,TABR
TABR4,269,0.000203,0,0.001991,F,TABR
TABR4,270,0.000332,0,0.002408,F,TABR
TABR4,271,0.000623,0.000113,0.002477,F,TABR
TABR4,272,0.000212,0.000052,0.002337,F,TABR
TABR4,273,0.000415,0,0.00222,F,TABR
TABR4,274,0.000687,0.00029,0.002483,F,TABR
TABR4,275,0.000937,0.000123,0.002973,F,TABR
TABR4,276,0.000473,0,0.003159,F,TABR
TABR4,277,0.00048,0.0001,0.002996,F,TABR
TABR4,278,0.000235,0,0.002704,F,TABR
TABR4,279,0.000402,0,0.002662,F,TABR
TABR4,280,0.000401,0,0.002567,F,TABR
TABR4,281,0.000269,0,0.002968,F,TABR
TABR4,282,0.000277,0,0.00288,F,TABR
TABR4,283,0.000534,0.000013,0.003016,F,TABR
TABR4,284,0.000252,0,0.003045,F,TABR
TABR4,285,0.000236,0,0.003362,F,TABR
TABR4,286,0.000413,0,0.003001,F,TABR
TABR4,287,0.000395,0.000112,0.003281,F,TABR
TABR4,288,0.000362,0,0.003338,F,TABR
TABR4,289,0.000562,0.000056,0.003024,F,TABR
TABR4,290,0.000744,0,0.00375,F,TABR
TABR4,291,0.000328,0.000077,0.003494,F,TABR
TABR4,292,0.000377,0,0.003528,F,TABR
TABR4,293,0.000613,0.000112,0.003329,F,TABR
TABR4,294,0.001105,0.000311,0.003781,F,TABR
TABR4,295,0.000513,0.000113,0.003472,F,TABR
TABR4,296,0.000483,0,0.003707,F,TABR
TABR4,297,0.000603,0.000001,0.004306,F,TABR
TABR4,298,0.000783,0.000071,0.004214,F,TABR
TABR4,299,0.000558,0,0.004185,F,TABR
TABR4,300,0.000973,0,0.004569,F,TABR
TABR4,301,0.000295,0,0.00359,F,TABR
TABR4,302,0.000379,0.000001,0.004184,F,TABR
TABR4,303,0.000918,0.000173,0.004071,F,TABR
TABR4,304,0.000855,0,0.004315,F,TABR
TABR4,305,0.001312,0.000326,0.004541,F,TABR
TABR4,306,0.0005,0.000119,0.004274,F,TABR
TABR4,307,0.000876,0.000165,0.004375,F,TABR
TABR4,308,0.001836,0.000264,0.005196,F,TABR
TABR4,309,0.000954,0.000058,0.004333,F,TABR
TABR4,310,0.000591,0,0.004566,F,TABR
TABR4,311,0.000714,0,0.0044,F,TABR
TABR4,312,0.000431,0,0.004361,F,TABR
TABR4,313,0.0003,0,0.004089,F,TABR
TABR4,314,0.000844,0,0.004526,F,TABR
TABR4,315,0.000656,0,0.004479,F,TABR
TABR4,316,0.000592,0,0.004412,F,TABR
TABR4,317,0.000641,0.000136,0.004331,F,TABR
TABR4,318,0.000731,0,0.004758,F,TABR
TABR4,319,0.000472,0,0.004159,F,TABR
TABR4,320,0.000346,0.000054,0.004078,F,TABR
TABR4,321,0.000553,0,0.004555,F,TABR
TABR4,322,0.00046,0,0.004525,F,TABR
TABR4,323,0.000659,0,0.004469,F,TABR
TABR4,324,0.000681,0.000132,0.004598,F,TABR
TABR4,325,0.000347,0,0.004575,F,TABR
TABR4,326,0.000684,0.000067,0.004605,F,TABR
TABR4,327,0.000313,0.000017,0.004197,F,TABR
TABR4,328,0.000751,0.000051,0.004538,F,TABR
TABR4,329,0.000502,0,0.004517,F,TABR
TABR4,330,0.000845,0.000062,0.004657,F,TABR
TABR4,331,0.000706,0.000123,0.004851,F,TABR
TABR4,332,0.000431,0,0.004153,F,TABR
TABR4,333,0.000937,0.000014,0.005049,F,TABR
TABR4,334,0.001156,0.000021,0.004854,F,TABR
TABR4,335,0.00099,0.000257,0.00512,F,TABR
TABR4,336,0.000642,0,0.004735,F,TABR
TABR4,337,0.000416,0,0.004722,F,TABR
TABR4,338,0.000902,0.000023,0.005031,F,TABR
TABR4,339,0.000292,0,0.005051,F,TABR
TABR4,340,0.001201,0.000127,0.005354,F,TABR
TABR4,341,0.000627,0,0.005351,F,TABR
TABR4,342,0.00086,0.000103,0.005433,F,TABR
TABR4,343,0.000636,0.00001,0.005367,F,TABR
TABR4,344,0.000938,0.000183,0.005483,F,TABR
TABR4,345,0.000633,0.000011,0.005457,F,TABR
TABR4,346,0.000636,0,0.006051,F,TABR
TABR4,347,0.000925,0.000107,0.006128,F,TABR
TABR4,348,0.000714,0,0.005964,F,TABR
TABR4,349,0.000861,0.000023,0.006313,F,TABR
TABR4,350,0.000446,0,0.006047,F,TABR
TABR4,351,0.000613,0,0.005947,F,TABR
TABR4,352,0.000735,0,0.006708,F,TABR
TABR4,353,0.000735,0.000011,0.007286,F,TABR
TABR4,354,0.000985,0,0.00742,F,TABR
TABR4,355,0.000751,0,0.007197,F,TABR
TABR4,356,0.000807,0.000039,0.007659,F,TABR
TABR4,357,0.000956,0,0.007711,F,TABR
TABR4,358,0.00103,0,0.007864,F,TABR
TABR4,359,0.000994,0,0.007925,F,TABR
TABR4,360,0.00118,0,0.008387,F,TABR
TABR4,361,0.001257,0.000142,0.008884,F,TABR
TABR4,362,0.001055,0,0.009054,F,TABR
TABR4,363,0.001065,0,0.009771,F,TABR
TABR4,364,0.001061,0.000108,0.009579,F,TABR
TABR4,365,0.001301,0.000176,0.00997,F,TABR
TABR4,366,0.001501,0,0.010691,F,TABR
TABR4,367,0.001529,0.000054,0.011094,F,TABR
TABR4,368,0.0015,0,0.012032,F,TABR
TABR4,369,0.001347,0,0.012308,F,TABR
TABR4,370,0.001209,0,0.013866,F,TABR
TABR4,371,0.001496,0,0.014421,F,TABR
TABR4,372,0.001666,0.000024,0.014945,F,TABR
TABR4,373,0.001765,0,0.016839,F,TABR
TABR4,374,0.002149,0,0.018826,F,TABR
TABR4,375,0.002056,0,0.020361,F,TABR
TABR4,376,0.002693,0.000063,0.022426,F,TABR
TABR4,377,0.003083,0.000059,0.026034,F,TABR
TABR4,378,0.002816,0.000018,0.027666,F,TABR
TABR4,379,0.003463,0,0.032575,F,TABR
TABR4,380,0.004215,0,0.038577,F,TABR
TABR4,381,0.004545,0,0.042773,F,TABR
TABR4,382,0.005881,0,0.052848,F,TABR
TABR4,383,0.007056,0,0.064246,F,TABR
TABR4,384,0.008887,0,0.081417,F,TABR
TABR4,385,0.009604,0,0.088561,F,TABR
TABR4,386,0.012726,0.000018,0.118091,F,TABR
TABR4,387,0.015998,0,0.137004,F,TABR
TABR4,388,0.019078,0,0.16413,F,TABR
