ID,Wavelength,Value,Dark,Reference,Sex,Species 
TABR6,250,0.000175,0.000051,0.000971,F,TABR
TABR6,251,0.000201,0,0.001157,F,TABR
TABR6,252,0.000285,0.000121,0.001256,F,TABR
TABR6,253,0.000178,0,0.001465,F,TABR
TABR6,254,0.000184,0,0.001274,F,TABR
TABR6,255,0.000058,0,0.00102,F,TABR
TABR6,256,0.000075,0,0.001204,F,TABR
TABR6,257,0.000085,0.00001,0.001128,F,TABR
TABR6,258,0.000352,0.00001,0.001482,F,TABR
TABR6,259,0.000232,0.000195,0.00124,F,TABR
TABR6,260,0.000228,0.000094,0.001338,F,TABR
TABR6,261,0.000365,0.000007,0.001418,F,TABR
TABR6,262,0.000334,0.000053,0.001613,F,TABR
TABR6,263,0.000118,0.000013,0.002033,F,TABR
TABR6,264,0.000262,0,0.001475,F,TABR
TABR6,265,0.000292,0,0.002026,F,TABR
TABR6,266,0.000308,0.000123,0.001793,F,TABR
TABR6,267,0.000235,0.000074,0.001985,F,TABR
TABR6,268,0.000135,0,0.002205,F,TABR
TABR6,269,0.000254,0,0.001991,F,TABR
TABR6,270,0.000326,0,0.002408,F,TABR
TABR6,271,0.000504,0.000113,0.002477,F,TABR
TABR6,272,0.000216,0.000052,0.002337,F,TABR
TABR6,273,0.00041,0,0.00222,F,TABR
TABR6,274,0.00062,0.00029,0.002483,F,TABR
TABR6,275,0.000709,0.000123,0.002973,F,TABR
TABR6,276,0.000613,0,0.003159,F,TABR
TABR6,277,0.000418,0.0001,0.002996,F,TABR
TABR6,278,0.000309,0,0.002704,F,TABR
TABR6,279,0.000412,0,0.002662,F,TABR
TABR6,280,0.000458,0,0.002567,F,TABR
TABR6,281,0.000377,0,0.002968,F,TABR
TABR6,282,0.000197,0,0.00288,F,TABR
TABR6,283,0.000456,0.000013,0.003016,F,TABR
TABR6,284,0.000366,0,0.003045,F,TABR
TABR6,285,0.000297,0,0.003362,F,TABR
TABR6,286,0.000355,0,0.003001,F,TABR
TABR6,287,0.000549,0.000112,0.003281,F,TABR
TABR6,288,0.00033,0,0.003338,F,TABR
TABR6,289,0.000581,0.000056,0.003024,F,TABR
TABR6,290,0.000808,0,0.00375,F,TABR
TABR6,291,0.000349,0.000077,0.003494,F,TABR
TABR6,292,0.000217,0,0.003528,F,TABR
TABR6,293,0.000496,0.000112,0.003329,F,TABR
TABR6,294,0.001118,0.000311,0.003781,F,TABR
TABR6,295,0.000494,0.000113,0.003472,F,TABR
TABR6,296,0.000378,0,0.003707,F,TABR
TABR6,297,0.000406,0.000001,0.004306,F,TABR
TABR6,298,0.000879,0.000071,0.004214,F,TABR
TABR6,299,0.000383,0,0.004185,F,TABR
TABR6,300,0.000971,0,0.004569,F,TABR
TABR6,301,0.000387,0,0.00359,F,TABR
TABR6,302,0.000588,0.000001,0.004184,F,TABR
TABR6,303,0.00086,0.000173,0.004071,F,TABR
TABR6,304,0.000837,0,0.004315,F,TABR
TABR6,305,0.001145,0.000326,0.004541,F,TABR
TABR6,306,0.000539,0.000119,0.004274,F,TABR
TABR6,307,0.000817,0.000165,0.004375,F,TABR
TABR6,308,0.001492,0.000264,0.005196,F,TABR
TABR6,309,0.000832,0.000058,0.004333,F,TABR
TABR6,310,0.000498,0,0.004566,F,TABR
TABR6,311,0.000547,0,0.0044,F,TABR
TABR6,312,0.000397,0,0.004361,F,TABR
TABR6,313,0.000301,0,0.004089,F,TABR
TABR6,314,0.000789,0,0.004526,F,TABR
TABR6,315,0.000685,0,0.004479,F,TABR
TABR6,316,0.00056,0,0.004412,F,TABR
TABR6,317,0.000774,0.000136,0.004331,F,TABR
TABR6,318,0.000746,0,0.004758,F,TABR
TABR6,319,0.000494,0,0.004159,F,TABR
TABR6,320,0.00036,0.000054,0.004078,F,TABR
TABR6,321,0.000471,0,0.004555,F,TABR
TABR6,322,0.000476,0,0.004525,F,TABR
TABR6,323,0.000718,0,0.004469,F,TABR
TABR6,324,0.000626,0.000132,0.004598,F,TABR
TABR6,325,0.000625,0,0.004575,F,TABR
TABR6,326,0.000523,0.000067,0.004605,F,TABR
TABR6,327,0.000445,0.000017,0.004197,F,TABR
TABR6,328,0.00079,0.000051,0.004538,F,TABR
TABR6,329,0.000401,0,0.004517,F,TABR
TABR6,330,0.000839,0.000062,0.004657,F,TABR
TABR6,331,0.000672,0.000123,0.004851,F,TABR
TABR6,332,0.00052,0,0.004153,F,TABR
TABR6,333,0.000869,0.000014,0.005049,F,TABR
TABR6,334,0.000985,0.000021,0.004854,F,TABR
TABR6,335,0.00102,0.000257,0.00512,F,TABR
TABR6,336,0.000556,0,0.004735,F,TABR
TABR6,337,0.00057,0,0.004722,F,TABR
TABR6,338,0.000744,0.000023,0.005031,F,TABR
TABR6,339,0.000486,0,0.005051,F,TABR
TABR6,340,0.00096,0.000127,0.005354,F,TABR
TABR6,341,0.000689,0,0.005351,F,TABR
TABR6,342,0.000737,0.000103,0.005433,F,TABR
TABR6,343,0.000731,0.00001,0.005367,F,TABR
TABR6,344,0.000946,0.000183,0.005483,F,TABR
TABR6,345,0.000497,0.000011,0.005457,F,TABR
TABR6,346,0.000632,0,0.006051,F,TABR
TABR6,347,0.000932,0.000107,0.006128,F,TABR
TABR6,348,0.000792,0,0.005964,F,TABR
TABR6,349,0.00081,0.000023,0.006313,F,TABR
TABR6,350,0.000434,0,0.006047,F,TABR
TABR6,351,0.000613,0,0.005947,F,TABR
TABR6,352,0.000694,0,0.006708,F,TABR
TABR6,353,0.000977,0.000011,0.007286,F,TABR
TABR6,354,0.000816,0,0.00742,F,TABR
TABR6,355,0.000607,0,0.007197,F,TABR
TABR6,356,0.000777,0.000039,0.007659,F,TABR
TABR6,357,0.000879,0,0.007711,F,TABR
TABR6,358,0.001028,0,0.007864,F,TABR
TABR6,359,0.000892,0,0.007925,F,TABR
TABR6,360,0.001037,0,0.008387,F,TABR
TABR6,361,0.001099,0.000142,0.008884,F,TABR
TABR6,362,0.00113,0,0.009054,F,TABR
TABR6,363,0.001262,0,0.009771,F,TABR
TABR6,364,0.001037,0.000108,0.009579,F,TABR
TABR6,365,0.00123,0.000176,0.00997,F,TABR
TABR6,366,0.00152,0,0.010691,F,TABR
TABR6,367,0.001264,0.000054,0.011094,F,TABR
TABR6,368,0.001419,0,0.012032,F,TABR
TABR6,369,0.001369,0,0.012308,F,TABR
TABR6,370,0.001046,0,0.013866,F,TABR
TABR6,371,0.001553,0,0.014421,F,TABR
TABR6,372,0.001544,0.000024,0.014945,F,TABR
TABR6,373,0.001597,0,0.016839,F,TABR
TABR6,374,0.001997,0,0.018826,F,TABR
TABR6,375,0.002164,0,0.020361,F,TABR
TABR6,376,0.002564,0.000063,0.022426,F,TABR
TABR6,377,0.002985,0.000059,0.026034,F,TABR
TABR6,378,0.002774,0.000018,0.027666,F,TABR
TABR6,379,0.003305,0,0.032575,F,TABR
TABR6,380,0.004251,0,0.038577,F,TABR
TABR6,381,0.004522,0,0.042773,F,TABR
TABR6,382,0.005785,0,0.052848,F,TABR
TABR6,383,0.006956,0,0.064246,F,TABR
TABR6,384,0.00863,0,0.081417,F,TABR
TABR6,385,0.009503,0,0.088561,F,TABR
TABR6,386,0.012147,0.000018,0.118091,F,TABR
TABR6,387,0.016065,0,0.137004,F,TABR
TABR6,388,0.018717,0,0.16413,F,TABR
TABR6,389,0.024339,0.000052,0.196677,F,TABR
TABR6,390,0.033091,0,0.25583,F,TABR
TABR6,391,0.038245,0,0.285539,F,TABR
TABR6,392,0.051029,0,0.304829,F,TABR
TABR6,393,0.069403,0.000149,0.32014,F,TABR
TABR6,394,0.077913,0,0.317319,F,TABR
TABR6,395,0.103877,0,0.314838,F,TABR
TABR6,396,0.136426,0,0.306618,F,TABR
TABR6,397,0.159606,0.000072,0.307868,F,TABR
TABR6,398,0.194767,0,0.307493,F,TABR
TABR6,399,0.232879,0,0.307199,F,TABR
TABR6,400,0.252709,0,0.30378,F,TABR
TABR6,401,0.297313,0,0.308656,F,TABR
TABR6,402,0.299733,0.000101,0.299968,F,TABR
TABR6,403,0.29599,0.000018,0.297861,F,TABR
TABR6,404,0.295617,0.000041,0.295756,F,TABR
TABR6,405,0.296361,0.000241,0.296434,F,TABR
TABR6,406,0.294853,0,0.295064,F,TABR
TABR6,407,0.295673,0,0.295724,F,TABR
TABR6,408,0.295807,0.000006,0.295914,F,TABR
TABR6,409,0.297757,0,0.297939,F,TABR
TABR6,410,0.29393,0.00004,0.29412,F,TABR
TABR6,411,0.293428,0,0.29371,F,TABR
TABR6,412,0.291387,0.00013,0.29165,F,TABR
TABR6,413,0.293505,0.00005,0.293505,F,TABR
TABR6,414,0.290673,0.000067,0.290775,F,TABR
TABR6,415,0.290994,0,0.291275,F,TABR
TABR6,416,0.292556,0,0.292751,F,TABR
TABR6,417,0.289604,0,0.289716,F,TABR
TABR6,418,0.290621,0,0.290791,F,TABR
TABR6,419,0.289271,0,0.28951,F,TABR
TABR6,420,0.289731,0,0.289943,F,TABR
TABR6,421,0.288734,0,0.288949,F,TABR
TABR6,422,0.290592,0,0.290763,F,TABR
TABR6,423,0.288756,0.000094,0.288893,F,TABR
TABR6,424,0.288405,0.000051,0.290659,F,TABR
TABR6,425,0.290493,0,0.290705,F,TABR
TABR6,426,0.284511,0.00004,0.288354,F,TABR
TABR6,427,0.289035,0.000078,0.289158,F,TABR
TABR6,428,0.269758,0,0.289586,F,TABR
TABR6,429,0.273929,0,0.287145,F,TABR
TABR6,430,0.286503,0.000034,0.287982,F,TABR
TABR6,431,0.257037,0.000084,0.286561,F,TABR
TABR6,432,0.210784,0,0.286721,F,TABR
TABR6,433,0.229572,0.000051,0.283457,F,TABR
TABR6,434,0.200589,0,0.283237,F,TABR
TABR6,435,0.178937,0,0.281373,F,TABR
TABR6,436,0.169306,0,0.280033,F,TABR
TABR6,437,0.142826,0.000038,0.279493,F,TABR
TABR6,438,0.127846,0,0.27881,F,TABR
TABR6,439,0.115487,0,0.275426,F,TABR
TABR6,440,0.117371,0.00002,0.274417,F,TABR
TABR6,441,0.097829,0.000005,0.270786,F,TABR
TABR6,442,0.083624,0,0.27272,F,TABR
