ID,Wavelength,Value ,Dark,Reference,Sex,Species
TABR7,250,0.000206,0.000051,0.000971,F,TABR
TABR7,251,0.000138,0,0.001157,F,TABR
TABR7,252,0.000545,0.000121,0.001256,F,TABR
TABR7,253,0.000272,0,0.001465,F,TABR
TABR7,254,0.000237,0,0.001274,F,TABR
TABR7,255,0.000129,0,0.00102,F,TABR
TABR7,256,0.000154,0,0.001204,F,TABR
TABR7,257,0.000138,0.00001,0.001128,F,TABR
TABR7,258,0.00026,0.00001,0.001482,F,TABR
TABR7,259,0.00034,0.000195,0.00124,F,TABR
TABR7,260,0.000313,0.000094,0.001338,F,TABR
TABR7,261,0.000626,0.000007,0.001418,F,TABR
TABR7,262,0.000392,0.000053,0.001613,F,TABR
TABR7,263,0.000355,0.000013,0.002033,F,TABR
TABR7,264,0.000228,0,0.001475,F,TABR
TABR7,265,0.00035,0,0.002026,F,TABR
TABR7,266,0.000317,0.000123,0.001793,F,TABR
TABR7,267,0.000372,0.000074,0.001985,F,TABR
TABR7,268,0.000411,0,0.002205,F,TABR
TABR7,269,0.000354,0,0.001991,F,TABR
TABR7,270,0.000374,0,0.002408,F,TABR
TABR7,271,0.000774,0.000113,0.002477,F,TABR
TABR7,272,0.000419,0.000052,0.002337,F,TABR
TABR7,273,0.000435,0,0.00222,F,TABR
TABR7,274,0.000867,0.00029,0.002483,F,TABR
TABR7,275,0.001024,0.000123,0.002973,F,TABR
TABR7,276,0.000718,0,0.003159,F,TABR
TABR7,277,0.000656,0.0001,0.002996,F,TABR
TABR7,278,0.000414,0,0.002704,F,TABR
TABR7,279,0.000579,0,0.002662,F,TABR
TABR7,280,0.00066,0,0.002567,F,TABR
TABR7,281,0.00062,0,0.002968,F,TABR
TABR7,282,0.000276,0,0.00288,F,TABR
TABR7,283,0.000599,0.000013,0.003016,F,TABR
TABR7,284,0.000269,0,0.003045,F,TABR
TABR7,285,0.000237,0,0.003362,F,TABR
TABR7,286,0.000409,0,0.003001,F,TABR
TABR7,287,0.00069,0.000112,0.003281,F,TABR
TABR7,288,0.000649,0,0.003338,F,TABR
TABR7,289,0.000774,0.000056,0.003024,F,TABR
TABR7,290,0.000892,0,0.00375,F,TABR
TABR7,291,0.000691,0.000077,0.003494,F,TABR
TABR7,292,0.00059,0,0.003528,F,TABR
TABR7,293,0.000722,0.000112,0.003329,F,TABR
TABR7,294,0.001473,0.000311,0.003781,F,TABR
TABR7,295,0.000665,0.000113,0.003472,F,TABR
TABR7,296,0.000668,0,0.003707,F,TABR
TABR7,297,0.000829,0.000001,0.004306,F,TABR
TABR7,298,0.000995,0.000071,0.004214,F,TABR
TABR7,299,0.000613,0,0.004185,F,TABR
TABR7,300,0.001447,0,0.004569,F,TABR
TABR7,301,0.000564,0,0.00359,F,TABR
TABR7,302,0.000735,0.000001,0.004184,F,TABR
TABR7,303,0.001076,0.000173,0.004071,F,TABR
TABR7,304,0.001233,0,0.004315,F,TABR
TABR7,305,0.001764,0.000326,0.004541,F,TABR
TABR7,306,0.000876,0.000119,0.004274,F,TABR
TABR7,307,0.001188,0.000165,0.004375,F,TABR
TABR7,308,0.002062,0.000264,0.005196,F,TABR
TABR7,309,0.001441,0.000058,0.004333,F,TABR
TABR7,310,0.000869,0,0.004566,F,TABR
TABR7,311,0.001021,0,0.0044,F,TABR
TABR7,312,0.00081,0,0.004361,F,TABR
TABR7,313,0.000777,0,0.004089,F,TABR
TABR7,314,0.000972,0,0.004526,F,TABR
TABR7,315,0.001117,0,0.004479,F,TABR
TABR7,316,0.000778,0,0.004412,F,TABR
TABR7,317,0.00093,0.000136,0.004331,F,TABR
TABR7,318,0.001209,0,0.004758,F,TABR
TABR7,319,0.000925,0,0.004159,F,TABR
TABR7,320,0.00055,0.000054,0.004078,F,TABR
TABR7,321,0.000822,0,0.004555,F,TABR
TABR7,322,0.000902,0,0.004525,F,TABR
TABR7,323,0.001061,0,0.004469,F,TABR
TABR7,324,0.001099,0.000132,0.004598,F,TABR
TABR7,325,0.000882,0,0.004575,F,TABR
TABR7,326,0.000818,0.000067,0.004605,F,TABR
TABR7,327,0.000636,0.000017,0.004197,F,TABR
TABR7,328,0.000985,0.000051,0.004538,F,TABR
TABR7,329,0.000756,0,0.004517,F,TABR
TABR7,330,0.00117,0.000062,0.004657,F,TABR
TABR7,331,0.000853,0.000123,0.004851,F,TABR
TABR7,332,0.000977,0,0.004153,F,TABR
TABR7,333,0.001282,0.000014,0.005049,F,TABR
TABR7,334,0.001416,0.000021,0.004854,F,TABR
TABR7,335,0.001358,0.000257,0.00512,F,TABR
TABR7,336,0.000878,0,0.004735,F,TABR
TABR7,337,0.000663,0,0.004722,F,TABR
TABR7,338,0.001276,0.000023,0.005031,F,TABR
TABR7,339,0.000889,0,0.005051,F,TABR
TABR7,340,0.001344,0.000127,0.005354,F,TABR
TABR7,341,0.000895,0,0.005351,F,TABR
TABR7,342,0.001093,0.000103,0.005433,F,TABR
TABR7,343,0.001034,0.00001,0.005367,F,TABR
TABR7,344,0.001121,0.000183,0.005483,F,TABR
TABR7,345,0.00091,0.000011,0.005457,F,TABR
TABR7,346,0.001011,0,0.006051,F,TABR
TABR7,347,0.001278,0.000107,0.006128,F,TABR
TABR7,348,0.001006,0,0.005964,F,TABR
TABR7,349,0.001208,0.000023,0.006313,F,TABR
TABR7,350,0.000871,0,0.006047,F,TABR
TABR7,351,0.000766,0,0.005947,F,TABR
TABR7,352,0.001198,0,0.006708,F,TABR
TABR7,353,0.001167,0.000011,0.007286,F,TABR
TABR7,354,0.001352,0,0.00742,F,TABR
TABR7,355,0.001369,0,0.007197,F,TABR
TABR7,356,0.001297,0.000039,0.007659,F,TABR
TABR7,357,0.001337,0,0.007711,F,TABR
TABR7,358,0.00148,0,0.007864,F,TABR
TABR7,359,0.001378,0,0.007925,F,TABR
TABR7,360,0.001615,0,0.008387,F,TABR
TABR7,361,0.00174,0.000142,0.008884,F,TABR
TABR7,362,0.001608,0,0.009054,F,TABR
TABR7,363,0.001699,0,0.009771,F,TABR
TABR7,364,0.001727,0.000108,0.009579,F,TABR
TABR7,365,0.001866,0.000176,0.00997,F,TABR
TABR7,366,0.002052,0,0.010691,F,TABR
TABR7,367,0.002211,0.000054,0.011094,F,TABR
TABR7,368,0.002323,0,0.012032,F,TABR
TABR7,369,0.001972,0,0.012308,F,TABR
TABR7,370,0.002264,0,0.013866,F,TABR
TABR7,371,0.00243,0,0.014421,F,TABR
TABR7,372,0.002536,0.000024,0.014945,F,TABR
TABR7,373,0.002947,0,0.016839,F,TABR
TABR7,374,0.003354,0,0.018826,F,TABR
TABR7,375,0.00344,0,0.020361,F,TABR
TABR7,376,0.003978,0.000063,0.022426,F,TABR
TABR7,377,0.004748,0.000059,0.026034,F,TABR
TABR7,378,0.004759,0.000018,0.027666,F,TABR
TABR7,379,0.005406,0,0.032575,F,TABR
TABR7,380,0.006548,0,0.038577,F,TABR
TABR7,381,0.007136,0,0.042773,F,TABR
TABR7,382,0.009224,0,0.052848,F,TABR
TABR7,383,0.011337,0,0.064246,F,TABR
TABR7,384,0.013984,0,0.081417,F,TABR
TABR7,385,0.015162,0,0.088561,F,TABR
TABR7,386,0.020123,0.000018,0.118091,F,TABR
TABR7,387,0.02535,0,0.137004,F,TABR
