ID,Wavelength,Value ,Dark,Reference,Sex,Species 
TABR1,250,0.000189,0.000051,0.000971,M,TABR
TABR1,251,0.000314,0,0.001157,M,TABR
TABR1,252,0.000591,0.000121,0.001256,M,TABR
TABR1,253,0.000467,0,0.001465,M,TABR
TABR1,254,0.000368,0,0.001274,M,TABR
TABR1,255,0.000145,0,0.00102,M,TABR
TABR1,256,0.000245,0,0.001204,M,TABR
TABR1,257,0.000221,0.00001,0.001128,M,TABR
TABR1,258,0.000417,0.00001,0.001482,M,TABR
TABR1,259,0.000314,0.000195,0.00124,M,TABR
TABR1,260,0.000377,0.000094,0.001338,M,TABR
TABR1,261,0.000563,0.000007,0.001418,M,TABR
TABR1,262,0.000395,0.000053,0.001613,M,TABR
TABR1,263,0.000361,0.000013,0.002033,M,TABR
TABR1,264,0.000403,0,0.001475,M,TABR
TABR1,265,0.000272,0,0.002026,M,TABR
TABR1,266,0.000546,0.000123,0.001793,M,TABR
TABR1,267,0.000415,0.000074,0.001985,M,TABR
TABR1,268,0.000308,0,0.002205,M,TABR
TABR1,269,0.000569,0,0.001991,M,TABR
TABR1,270,0.000558,0,0.002408,M,TABR
TABR1,271,0.001026,0.000113,0.002477,M,TABR
TABR1,272,0.000527,0.000052,0.002337,M,TABR
TABR1,273,0.000469,0,0.00222,M,TABR
TABR1,274,0.000821,0.00029,0.002483,M,TABR
TABR1,275,0.00121,0.000123,0.002973,M,TABR
TABR1,276,0.000677,0,0.003159,M,TABR
TABR1,277,0.000659,0.0001,0.002996,M,TABR
TABR1,278,0.000626,0,0.002704,M,TABR
TABR1,279,0.000604,0,0.002662,M,TABR
TABR1,280,0.000825,0,0.002567,M,TABR
TABR1,281,0.000686,0,0.002968,M,TABR
TABR1,282,0.000541,0,0.00288,M,TABR
TABR1,283,0.00091,0.000013,0.003016,M,TABR
TABR1,284,0.000676,0,0.003045,M,TABR
TABR1,285,0.000458,0,0.003362,M,TABR
TABR1,286,0.000492,0,0.003001,M,TABR
TABR1,287,0.000793,0.000112,0.003281,M,TABR
TABR1,288,0.000686,0,0.003338,M,TABR
TABR1,289,0.00094,0.000056,0.003024,M,TABR
TABR1,290,0.001229,0,0.00375,M,TABR
TABR1,291,0.000704,0.000077,0.003494,M,TABR
TABR1,292,0.000735,0,0.003528,M,TABR
TABR1,293,0.000874,0.000112,0.003329,M,TABR
TABR1,294,0.001559,0.000311,0.003781,M,TABR
TABR1,295,0.000891,0.000113,0.003472,M,TABR
TABR1,296,0.000759,0,0.003707,M,TABR
TABR1,297,0.000851,0.000001,0.004306,M,TABR
